"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Siempre",0.345,0.124,0.071,0.051,0.117
"P06","Casi siempre",0.291,0.472,0.205,0.131,0.182
"P06","Casi nunca",0.209,0.331,0.491,0.331,0.173
"P06","Nunca, pero esta es una excepción",0.155,0.073,0.233,0.487,0.528
"P09","Unión por la Patria",0.421,0.337,0.274,0.224,0.165
"P09","Juntos por el Cambio",0.253,0.287,0.357,0.123,0
"P09","De los Liberales libertarios",0.178,0.195,0.13,0.285,0.21
"P09","De la Izquierda",0.033,0.045,0.032,0.015,0
"P09","Hacemos por nuestro país",0.026,0.023,0,0,0
"P09","Otro",0.03,0.039,0.099,0.134,0.117
"P09","En blanco",0.017,0.026,0.034,0.052,0.219
"P09","No sabe",0.042,0.048,0.074,0.167,0.289
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.381,0.336,0.278,0.226,0.191
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.246,0.31,0.33,0.145,0
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.276,0.247,0.225,0.181,0.283
"P12","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.024,0.016,0.041,0,0.066
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.014,0.028,0.019,0,0
"P12","En blanco",0.033,0.007,0.032,0.142,0.123
"P12","No sabe",0.026,0.056,0.075,0.306,0.337
"P15","Si",0.385,0.485,0.432,0.552,0.36
"P15","No",0.615,0.515,0.568,0.448,0.64
"P16","Sergio Massa a presidente por Unión por la Patria",0.346,0.272,0.293,0.121,0
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.292,0.334,0.386,0.174,0
"P16","Javier Milei a presidente por la Libertad Avanza",0.291,0.273,0.146,0.213,0.783
"P16","Los candidatos a presidente de la Izquierda",0.029,0.035,0.068,0.019,0
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.007,0.034,0.013,0,0
"P16","En blanco",0.014,0.003,0,0,0
"P16","No sabe",0.021,0.049,0.094,0.473,0.217
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.317,0.271,0.28,0.248,0.535
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.361,0.292,0.356,0.176,0
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.181,0.243,0.176,0.108,0.465
"P19","El candidato a gobernador de la Izquierda",0.053,0.037,0.011,0,0
"P19","En blanco",0.007,0.023,0.032,0.035,0
"P19","No sabe",0.081,0.134,0.145,0.433,0
"P22","Fernando Moreira a intendente por Unión por la Patria",0.368,0.371,0.369,0.131,0
"P22","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.369,0.459,0.311,0.132,0.471
"P22","Hernán Sardella a intendente por la Libertad Avanza",0.127,0.075,0.105,0.06,0
"P22","El candidato del Frente de Izquierda",0.008,0.025,0.078,0,0
"P22","En blanco",0.01,0.024,0.097,0.016,0
"P22","No sabe",0.118,0.046,0.04,0.661,0.529
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.363,0.373,0.437,0.694,0.703
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.213,0.241,0.206,0.034,0
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.325,0.257,0.19,0.094,0.11
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.045,0.072,0.044,0.07,0
