"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala"
"P04","Gran excedente habitual",0.057,0.021,0.006,0.006,0.023
"P04","Gran excedente excepcional",0.048,0.017,0.009,0.003,0.008
"P04","Pequeño excedente habitual",0.14,0.136,0.07,0.021,0.036
"P04","Pequeño excedente excepcional",0.141,0.169,0.129,0.083,0.047
"P04","Alcanza gastos familia",0.082,0.117,0.157,0.144,0.092
"P04","No alcanza gastos familia",0.075,0.098,0.104,0.094,0.093
"P04","Solo NBFamiliares",0.16,0.29,0.292,0.299,0.187
"P04","No alcanza NBFamiliares",0.28,0.146,0.228,0.344,0.513
"P04","No sabe",0.017,0.006,0.005,0.006,0.001
"P05","Muy buena",0.231,0.043,0.049,0.093,0.119
"P05","Buena",0.212,0.144,0.073,0.06,0.04
"P05","Ni buena ni mala",0.2,0.323,0.203,0.074,0.076
"P05","Mala",0.128,0.221,0.329,0.37,0.211
"P05","Muy mala",0.229,0.269,0.346,0.403,0.554
"P06","Muy buena",0.3,0.054,0.021,0.036,0.043
"P06","Buena",0.239,0.219,0.082,0.043,0.018
"P06","Ni buena ni mala",0.12,0.305,0.242,0.102,0.052
"P06","Mala",0.121,0.173,0.276,0.314,0.146
"P06","Muy mala",0.22,0.249,0.379,0.505,0.741
"P07","Muy buena",0.588,0.115,0.024,0.022,0.024
"P07","Buena",0.186,0.479,0.086,0.029,0.036
"P07","Ni buena ni mala",0.097,0.273,0.525,0.15,0.094
"P07","Mala",0.069,0.086,0.26,0.556,0.23
"P07","Muy mala",0.06,0.047,0.105,0.243,0.616
"P08","Muy buena",0.313,0.046,0.011,0.012,0.017
"P08","Buena",0.309,0.37,0.117,0.05,0.025
"P08","Ni buena ni mala",0.189,0.419,0.543,0.28,0.143
"P08","Mala",0.096,0.109,0.248,0.485,0.242
"P08","Muy mala",0.093,0.056,0.081,0.173,0.573
"P09","Muy buena",0.404,0.076,0.029,0.012,0.018
"P09","Buena",0.259,0.445,0.11,0.062,0.029
"P09","Ni buena ni mala",0.12,0.269,0.454,0.144,0.06
"P09","Mala",0.094,0.127,0.269,0.519,0.143
"P09","Muy mala",0.123,0.083,0.138,0.263,0.75
"P11","Ha aumentado significativamente",0.446,0.074,0.025,0.028,0.025
"P11","Ha aumentado ligeramente",0.198,0.376,0.131,0.082,0.043
"P11","Se mantiene igual",0.175,0.304,0.423,0.16,0.14
"P11","Ha disminuido ligeramente",0.067,0.143,0.247,0.418,0.193
"P11","Ha disminuido significativamente",0.114,0.103,0.174,0.312,0.599
"P12","Muy baja",0.201,0.048,0.07,0.078,0.053
"P12","Baja",0.093,0.093,0.056,0.024,0.038
"P12","Moderada",0.14,0.157,0.108,0.051,0.066
"P12","Alta",0.245,0.308,0.222,0.243,0.062
"P12","Muy alta",0.321,0.394,0.544,0.604,0.781
"P13","Muy bajas",0.18,0.052,0.042,0.035,0.059
"P13","Bajas",0.068,0.132,0.103,0.08,0.078
"P13","Adecuadas",0.293,0.393,0.268,0.193,0.126
"P13","Altas",0.25,0.266,0.328,0.409,0.191
"P13","Muy altas",0.209,0.157,0.259,0.283,0.546
"P14","No, ninguna dificultad",0.527,0.418,0.245,0.151,0.155
"P14","Alguna dificultad ocasional",0.171,0.326,0.39,0.308,0.17
"P14","Sí, dificultades frecuentes",0.302,0.256,0.365,0.541,0.675
"P15","Sí, absolutamente",0.678,0.525,0.41,0.383,0.455
"P15","Sí, en cierta medida",0.172,0.316,0.362,0.347,0.213
"P15","No, en absoluto",0.15,0.159,0.228,0.27,0.332
"P16","Reducir la inflación",0.476,0.451,0.444,0.378,0.379
"P16","Implementar reformas fiscales",0.091,0.111,0.076,0.097,0.062
"P16","Establecer políticas de control de precios",0.223,0.204,0.15,0.128,0.14
"P16","Reducir el gasto público",0.134,0.187,0.269,0.334,0.344
"P16","Estimular la inversión extranjera",0.039,0.034,0.048,0.053,0.034
"P16","Aumentar los subsidios a los servicios públicos",0.037,0.013,0.013,0.01,0.041
"P17","Fomentar la competencia entre proveedores",0.334,0.28,0.336,0.335,0.347
"P17","Incrementar la inversión en infraestructura",0.25,0.213,0.202,0.198,0.161
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.171,0.216,0.151,0.132,0.123
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.245,0.291,0.311,0.335,0.369
"P18","Muy positiva",0.411,0.224,0.132,0.125,0.094
"P18","Positiva",0.192,0.266,0.214,0.127,0.124
"P18","Neutral",0.182,0.31,0.388,0.335,0.375
"P18","Algo negativa",0.096,0.074,0.097,0.16,0.13
"P18","Negativa",0.089,0.05,0.075,0.126,0.182
"P18","No sabe",0.03,0.076,0.094,0.127,0.095
"P19","Muy positivo",0.393,0.188,0.091,0.051,0.087
"P19","Positivo",0.227,0.272,0.188,0.129,0.088
"P19","Neutral",0.195,0.327,0.414,0.377,0.361
"P19","Algo negativo",0.041,0.064,0.109,0.156,0.121
"P19","Negativo",0.094,0.048,0.078,0.135,0.206
"P19","No sabe",0.05,0.101,0.12,0.152,0.137
"P20","Muy positivo",0.342,0.124,0.07,0.034,0.046
"P20","Positivo",0.193,0.244,0.149,0.113,0.068
"P20","Neutral",0.321,0.445,0.492,0.473,0.421
"P20","Algo negativo",0.037,0.054,0.104,0.111,0.09
"P20","Negativo",0.076,0.036,0.061,0.126,0.245
"P20","No sabe",0.031,0.097,0.124,0.143,0.13
"P21","Muy positiva",0.576,0.434,0.274,0.214,0.206
"P21","Positiva",0.158,0.252,0.237,0.178,0.194
"P21","Neutral",0.155,0.182,0.28,0.304,0.269
"P21","Algo negativa",0.042,0.058,0.083,0.094,0.062
"P21","Negativa",0.053,0.05,0.081,0.138,0.228
"P21","No sabe",0.016,0.024,0.045,0.072,0.041
"P22","Muy positivo",0.602,0.451,0.275,0.212,0.196
