clase,Todos,Hombres,Mujeres,16-29 años,30-49 años,50-64 años,65+ años,Hasta primario completo,Secundario completo/incompleto,Terciario completo/incompleto,Fernandez,Macri,Lavagna,opciones
Muy bueno,0.192,0.184,0.2,0.201,0.205,0.206,0.105,0.219,0.213,0.121,0.292,0.069,0.162,6
Bueno,0.245,0.269,0.22,0.217,0.208,0.256,0.403,0.257,0.229,0.257,0.296,0.157,0.424,6
Ni bueno ni malo,0.305,0.272,0.34,0.303,0.314,0.296,0.296,0.347,0.316,0.235,0.227,0.455,0.212,6
Malo,0.118,0.109,0.127,0.071,0.142,0.158,0.064,0.079,0.112,0.178,0.064,0.162,0.12,6
Muy malo,0.12,0.141,0.098,0.199,0.112,0.075,0.069,0.076,0.11,0.19,0.099,0.147,0.082,6
No sabe,0.02,0.025,0.015,0.009,0.019,0.009,0.063,0.022,0.02,0.019,0.022,0.01,0,6
Positiva,0.437,0.453,0.42,0.418,0.413,0.462,0.508,0.476,0.442,0.378,0.588,0.226,0.586,4
Neutra,0.305,0.272,0.34,0.303,0.314,0.296,0.296,0.347,0.316,0.235,0.227,0.455,0.212,4
Negativa,0.238,0.25,0.225,0.27,0.254,0.233,0.133,0.155,0.222,0.368,0.163,0.309,0.202,4
No sabe,0.02,0.025,0.015,0.009,0.019,0.009,0.063,0.022,0.02,0.019,0.022,0.01,0,4
