"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P07","Al candidato del Frente de Todos",0.345,0.314,0.289,0.389,0.519
"P07","Al candidato de Juntos por el Cambio",0.262,0.401,0.393,0.214,0.165
"P07","Al candidato de los liberales - libertarios",0.155,0.12,0.178,0.054,0.194
"P07","Al candidato de la Izquierda",0.06,0.05,0.045,0.078,0.016
"P07","A otro candidato",0.029,0.052,0.032,0.17,0.017
"P07","No sabe",0.149,0.063,0.063,0.095,0.089
"P08","A Julio Zamora por el Frente de Todos",0.23,0.334,0.265,0.369,0.509
"P08","A Malena Galmarini por el Frente de Todos",0.167,0.084,0.156,0.069,0.124
"P08","A Segundo Cernadas por Cambiemos",0.233,0.284,0.218,0.144,0.091
"P08","A Nicolás Massot por Cambiemos",0.07,0.104,0.12,0.067,0.004
"P08","Al candidato de los liberales libertarios",0.139,0.114,0.146,0.204,0.211
"P08","A Paula Akerfeld por el Frente de Izquierda",0.096,0.02,0.055,0.01,0.026
"P08","No sabe",0.065,0.06,0.04,0.137,0.035
"P10","A Julio Zamora por el Frente de Todos",0.329,0.355,0.355,0.375,0.487
"P10","A Segundo Cernadas por Cambiemos",0.245,0.344,0.172,0.21,0.128
"P10","Al candidato de los liberales libertarios",0.171,0.149,0.222,0.129,0.282
"P10","A Paula Akerfeld por el Frente de Izquierda",0.066,0.017,0.028,0.019,0.047
"P10","No sabe",0.189,0.135,0.223,0.267,0.056
"P12","A Malena Galmarini por el Frente de Todos",0.335,0.313,0.323,0.267,0.387
"P12","A Segundo Cernadas por Cambiemos",0.263,0.383,0.342,0.273,0.174
"P12","Al candidato de los liberales libertarios",0.133,0.182,0.116,0.102,0.236
"P12","A Paula Akerfeld por el Frente de Izquierda",0.046,0.034,0.07,0.09,0.032
"P12","No sabe",0.223,0.088,0.149,0.268,0.171
"P14","Muy buena",0.134,0.188,0.148,0.098,0.112
"P14","Buena",0.147,0.1,0.154,0.187,0.222
"P14","Ni buena ni mala",0.185,0.18,0.116,0.315,0.195
"P14","Mala",0.126,0.153,0.094,0.091,0.123
"P14","Muy mala",0.307,0.343,0.447,0.262,0.234
"P14","No sabe",0.101,0.036,0.041,0.047,0.114
"P15","Muy buena",0.182,0.141,0.346,0.197,0.296
"P15","Buena",0.22,0.27,0.113,0.232,0.226
"P15","Ni buena ni mala",0.226,0.229,0.291,0.243,0.243
"P15","Mala",0.172,0.213,0.071,0.167,0.079
"P15","Muy mala",0.196,0.126,0.174,0.139,0.13
"P15","No sabe",0.004,0.021,0.005,0.022,0.026
"P16","Muy buena",0.106,0.246,0.222,0.115,0.024
"P16","Buena",0.127,0.228,0.189,0.079,0.114
"P16","Ni buena ni mala",0.326,0.213,0.325,0.444,0.354
"P16","Mala",0.082,0.105,0.026,0.256,0.107
"P16","Muy mala",0.177,0.148,0.185,0.074,0.15
"P16","No sabe",0.182,0.06,0.053,0.032,0.251
"P17","Muy buena",0.014,0.096,0.255,0.056,0.02
"P17","Buena",0.03,0.012,0.123,0.011,0.081
"P17","Ni buena ni mala",0.326,0.341,0.135,0.424,0.415
"P17","Mala",0.105,0.128,0.04,0.052,0.05
"P17","Muy mala",0.076,0.062,0.084,0.037,0.07
"P17","No sabe",0.449,0.361,0.363,0.42,0.364
"P18","Muy buena",0.042,0.156,0.199,0.025,0.083
"P18","Buena",0.117,0.099,0.089,0.025,0.044
"P18","Ni buena ni mala",0.334,0.41,0.311,0.533,0.429
"P18","Mala",0.083,0.087,0.064,0.111,0.108
"P18","Muy mala",0.178,0.093,0.134,0.127,0.096
"P18","No sabe",0.246,0.155,0.203,0.179,0.24
