"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Juan Laborde Rodríguez","Positiva",0.124,0.124,0.123,0.251,0.076,0.067,0.101,0.143,0.152,0.043,0.136,0.089,0.123,0.093,0.141,0.209
"Juan Laborde Rodríguez","Neutra",0.318,0.336,0.301,0.295,0.343,0.335,0.261,0.393,0.295,0.248,0.234,0.397,0.374,0.348,0.31,0.4
"Juan Laborde Rodríguez","Negativa",0.152,0.237,0.07,0.264,0.111,0.145,0.063,0.129,0.174,0.147,0.147,0.201,0.138,0.142,0.154,0.216
"Juan Laborde Rodríguez","No sabe",0.406,0.303,0.506,0.19,0.47,0.453,0.575,0.335,0.379,0.562,0.483,0.313,0.365,0.417,0.395,0.175
"Nicolás Massot","Positiva",0.206,0.248,0.166,0.237,0.2,0.173,0.216,0.266,0.188,0.149,0.205,0.288,0.175,0.151,0.257,0.334
"Nicolás Massot","Neutra",0.381,0.361,0.4,0.441,0.363,0.389,0.305,0.399,0.399,0.323,0.347,0.335,0.432,0.363,0.409,0.29
"Nicolás Massot","Negativa",0.202,0.23,0.175,0.163,0.215,0.213,0.22,0.127,0.224,0.272,0.203,0.197,0.203,0.246,0.173,0.25
"Nicolás Massot","No sabe",0.211,0.161,0.259,0.159,0.222,0.225,0.259,0.208,0.189,0.256,0.245,0.18,0.19,0.24,0.161,0.126
"Segundo Cernadas","Positiva",0.318,0.317,0.317,0.365,0.245,0.354,0.398,0.294,0.292,0.395,0.267,0.385,0.342,0.134,0.511,0.363
"Segundo Cernadas","Neutra",0.312,0.349,0.278,0.263,0.356,0.328,0.244,0.385,0.306,0.22,0.336,0.316,0.287,0.336,0.307,0.123
"Segundo Cernadas","Negativa",0.23,0.225,0.235,0.207,0.247,0.237,0.208,0.14,0.267,0.293,0.239,0.224,0.223,0.369,0.093,0.418
"Segundo Cernadas","No sabe",0.14,0.109,0.17,0.165,0.152,0.081,0.15,0.181,0.135,0.092,0.158,0.075,0.148,0.161,0.089,0.096
"Julio Zamora","Positiva",0.442,0.414,0.47,0.375,0.473,0.417,0.516,0.488,0.484,0.307,0.452,0.472,0.422,0.642,0.301,0.772
"Julio Zamora","Neutra",0.233,0.205,0.259,0.238,0.225,0.245,0.226,0.242,0.234,0.216,0.236,0.184,0.248,0.17,0.262,0.039
"Julio Zamora","Negativa",0.286,0.355,0.219,0.354,0.262,0.302,0.209,0.211,0.244,0.465,0.249,0.342,0.301,0.174,0.369,0.184
"Julio Zamora","No sabe",0.039,0.026,0.052,0.033,0.04,0.036,0.049,0.059,0.038,0.012,0.063,0.002,0.029,0.014,0.068,0.005
"Patricia Bullrich","Positiva",0.379,0.494,0.276,0.338,0.312,0.462,0.513,0.45,0.244,0.51,0.315,0.525,0.389,0.2,0.64,0.422
"Patricia Bullrich","Neutra",0.197,0.137,0.251,0.389,0.164,0.121,0.102,0.125,0.32,0.087,0.2,0.208,0.188,0.139,0.162,0.074
"Patricia Bullrich","Negativa",0.398,0.353,0.437,0.273,0.476,0.389,0.381,0.36,0.431,0.39,0.446,0.267,0.398,0.642,0.183,0.504
"Patricia Bullrich","No sabe",0.026,0.016,0.036,0,0.048,0.028,0.004,0.065,0.005,0.013,0.039,0,0.025,0.019,0.015,0
"Horacio Rodriguez Larreta","Positiva",0.302,0.307,0.297,0.309,0.24,0.359,0.382,0.292,0.304,0.31,0.274,0.304,0.327,0.094,0.476,0.812
"Horacio Rodriguez Larreta","Neutra",0.247,0.231,0.261,0.259,0.279,0.21,0.192,0.239,0.287,0.193,0.243,0.348,0.213,0.269,0.222,0.079
"Horacio Rodriguez Larreta","Negativa",0.409,0.457,0.367,0.383,0.444,0.394,0.374,0.401,0.368,0.488,0.435,0.348,0.408,0.541,0.298,0.056
"Horacio Rodriguez Larreta","No sabe",0.042,0.005,0.075,0.049,0.037,0.037,0.052,0.068,0.041,0.009,0.048,0,0.052,0.096,0.004,0.053
"Javier Milei","Positiva",0.333,0.471,0.207,0.506,0.296,0.304,0.201,0.362,0.288,0.368,0.29,0.444,0.333,0.166,0.441,0.424
"Javier Milei","Neutra",0.211,0.156,0.262,0.19,0.21,0.185,0.293,0.164,0.255,0.203,0.201,0.308,0.185,0.153,0.261,0.011
"Javier Milei","Negativa",0.422,0.355,0.482,0.255,0.478,0.478,0.439,0.431,0.42,0.411,0.479,0.234,0.435,0.629,0.273,0.497
"Javier Milei","No sabe",0.034,0.018,0.049,0.049,0.016,0.033,0.067,0.043,0.037,0.018,0.03,0.014,0.047,0.052,0.025,0.068
"Malena Galmarini","Positiva",0.279,0.234,0.323,0.217,0.335,0.255,0.265,0.287,0.322,0.193,0.318,0.221,0.263,0.439,0.174,0.318
"Malena Galmarini","Neutra",0.209,0.159,0.257,0.233,0.198,0.174,0.255,0.24,0.211,0.164,0.149,0.304,0.235,0.204,0.211,0.076
"Malena Galmarini","Negativa",0.425,0.536,0.318,0.424,0.399,0.499,0.387,0.374,0.386,0.564,0.442,0.446,0.398,0.256,0.563,0.549
"Malena Galmarini","No sabe",0.087,0.071,0.102,0.126,0.068,0.072,0.093,0.099,0.081,0.079,0.091,0.029,0.104,0.101,0.052,0.057
"Mauricio Macri","Positiva",0.34,0.402,0.283,0.424,0.214,0.394,0.483,0.366,0.255,0.442,0.345,0.432,0.299,0.152,0.6,0.037
"Mauricio Macri","Neutra",0.167,0.156,0.178,0.2,0.184,0.122,0.139,0.216,0.172,0.099,0.136,0.177,0.195,0.13,0.147,0.434
"Mauricio Macri","Negativa",0.479,0.43,0.524,0.376,0.585,0.457,0.373,0.388,0.571,0.447,0.509,0.391,0.484,0.702,0.237,0.529
"Mauricio Macri","No sabe",0.014,0.012,0.015,0,0.017,0.027,0.005,0.03,0.002,0.012,0.01,0,0.022,0.016,0.016,0
"Sergio Massa","Positiva",0.251,0.185,0.312,0.15,0.271,0.247,0.36,0.248,0.265,0.233,0.24,0.224,0.274,0.399,0.128,0.414
"Sergio Massa","Neutra",0.227,0.185,0.264,0.329,0.212,0.16,0.208,0.218,0.317,0.09,0.221,0.173,0.252,0.265,0.189,0.037
"Sergio Massa","Negativa",0.512,0.622,0.412,0.521,0.507,0.572,0.421,0.509,0.414,0.675,0.529,0.603,0.46,0.323,0.674,0.549
"Sergio Massa","No sabe",0.01,0.008,0.012,0,0.01,0.021,0.011,0.025,0.004,0.002,0.01,0,0.014,0.013,0.009,0
"CFK","Positiva",0.361,0.326,0.392,0.412,0.377,0.288,0.346,0.37,0.407,0.274,0.394,0.239,0.375,0.57,0.273,0.324
"CFK","Neutra",0.108,0.065,0.148,0.099,0.139,0.092,0.06,0.139,0.13,0.034,0.122,0.031,0.124,0.15,0.044,0
"CFK","Negativa",0.519,0.599,0.447,0.489,0.474,0.589,0.588,0.461,0.461,0.688,0.473,0.73,0.485,0.265,0.67,0.665
"CFK","No sabe",0.012,0.01,0.013,0,0.01,0.031,0.006,0.03,0.002,0.004,0.011,0,0.016,0.015,0.013,0.011
"Alberto Fernandez","Positiva",0.263,0.197,0.323,0.265,0.264,0.214,0.333,0.304,0.252,0.228,0.289,0.245,0.244,0.367,0.219,0.364
"Alberto Fernandez","Neutra",0.208,0.171,0.242,0.237,0.215,0.166,0.205,0.225,0.275,0.075,0.223,0.086,0.24,0.242,0.158,0.073
"Alberto Fernandez","Negativa",0.52,0.631,0.419,0.498,0.514,0.591,0.462,0.453,0.466,0.696,0.478,0.669,0.505,0.377,0.616,0.563
"Alberto Fernandez","No sabe",0.009,0.001,0.016,0,0.007,0.029,0,0.018,0.007,0.001,0.01,0,0.011,0.014,0.007,0
