"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P07","Al candidato del Frente de Todos",0.124,0.222,0.283,0.336,0.591,0.359
"P07","Al candidato de Juntos por el Cambio",0.499,0.524,0.354,0.103,0.239,0.219
"P07","Al candidato de los liberales - libertarios",0.312,0.168,0.244,0.402,0.043,0.154
"P07","Al candidato de la Izquierda",0.012,0.011,0.026,0.102,0.034,0.043
"P07","A otro candidato",0.006,0.02,0.054,0.021,0.034,0.055
"P07","No sabe",0.047,0.055,0.039,0.036,0.059,0.17
"P08","A Julio Zamora por el Frente de Todos",0.146,0.198,0.228,0.207,0.376,0.359
"P08","A Malena Galmarini por el Frente de Todos",0.147,0.042,0.147,0.229,0.168,0.128
"P08","A Segundo Cernadas por Cambiemos",0.079,0.318,0.275,0.07,0.251,0.185
"P08","A Nicolás Massot por Cambiemos",0.485,0.292,0.045,0.062,0.05,0.052
"P08","Al candidato de los liberales libertarios",0.118,0.121,0.236,0.325,0.045,0.124
"P08","A Paula Akerfeld por el Frente de Izquierda",0.025,0.004,0.032,0.073,0.036,0.018
"P08","No sabe",0,0.025,0.037,0.034,0.074,0.134
"P10","A Julio Zamora por el Frente de Todos",0.235,0.22,0.255,0.315,0.472,0.394
"P10","A Segundo Cernadas por Cambiemos",0.424,0.535,0.393,0.096,0.227,0.215
"P10","Al candidato de los liberales libertarios",0.132,0.083,0.215,0.359,0.05,0.159
"P10","A Paula Akerfeld por el Frente de Izquierda",0.097,0.035,0.052,0.038,0.069,0.035
"P10","No sabe",0.112,0.127,0.085,0.192,0.182,0.197
"P12","A Malena Galmarini por el Frente de Todos",0.123,0.12,0.213,0.298,0.38,0.286
"P12","A Segundo Cernadas por Cambiemos",0.499,0.555,0.371,0.102,0.245,0.278
"P12","Al candidato de los liberales libertarios",0.219,0.251,0.299,0.315,0.085,0.146
"P12","A Paula Akerfeld por el Frente de Izquierda",0.021,0.016,0.049,0.072,0.092,0.036
"P12","No sabe",0.138,0.058,0.068,0.213,0.198,0.254
"P14","Muy buena",0.048,0.05,0.048,0.195,0.089,0.09
"P14","Buena",0.027,0.1,0.099,0.092,0.129,0.144
"P14","Ni buena ni mala",0.135,0.095,0.251,0.188,0.25,0.188
"P14","Mala",0.17,0.264,0.242,0.126,0.089,0.108
"P14","Muy mala",0.55,0.478,0.306,0.399,0.435,0.205
"P14","No sabe",0.07,0.013,0.054,0,0.008,0.265
"P15","Muy buena",0.099,0.096,0.129,0.122,0.289,0.225
"P15","Buena",0.202,0.269,0.173,0.204,0.144,0.194
"P15","Ni buena ni mala",0.313,0.174,0.37,0.108,0.263,0.248
"P15","Mala",0.099,0.204,0.199,0.252,0.007,0.131
"P15","Muy mala",0.287,0.237,0.119,0.265,0.29,0.085
"P15","No sabe",0,0.02,0.01,0.049,0.007,0.117
"P16","Muy buena",0.325,0.235,0.157,0.035,0.214,0.099
"P16","Buena",0.229,0.364,0.257,0.074,0.041,0.122
"P16","Ni buena ni mala",0.21,0.148,0.382,0.15,0.147,0.259
"P16","Mala",0.127,0.093,0.088,0.367,0.082,0.122
"P16","Muy mala",0.026,0.075,0.07,0.352,0.504,0.071
"P16","No sabe",0.083,0.085,0.046,0.022,0.012,0.327
"P17","Muy buena",0.101,0.065,0.026,0.059,0.034,0.014
"P17","Buena",0.098,0.099,0.051,0.018,0.014,0.053
"P17","Ni buena ni mala",0.126,0.244,0.532,0.289,0.22,0.063
"P17","Mala",0.048,0.012,0.1,0.234,0.065,0.043
"P17","Muy mala",0.216,0.041,0.041,0.109,0.342,0.035
"P17","No sabe",0.411,0.539,0.25,0.291,0.325,0.792
"P19","Muy buena",0.178,0.087,0.101,0.08,0.273,0.184
"P19","Buena",0.189,0.238,0.221,0.198,0.206,0.217
"P19","Ni buena ni mala",0.237,0.209,0.344,0.264,0.078,0.257
"P19","Mala",0.107,0.279,0.227,0.252,0.165,0.157
"P19","Muy mala",0.221,0.187,0.082,0.195,0.278,0.04
"P19","No sabe",0.068,0,0.025,0.011,0,0.145
"P20","Que continúe el intendente Julio Zamora",0.058,0.092,0.115,0.072,0.286,0.253
"P20","Que continúe Julio Zamora pero con mejoras",0.177,0.202,0.263,0.197,0.221,0.189
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.119,0.114,0.179,0.13,0.171,0.273
"P20","Que cambie el intendente Julio Zamora",0.646,0.592,0.443,0.601,0.322,0.285
"P21","Es kirchnerista",0.157,0.256,0.158,0.118,0.098,0.138
"P21","Forma parte del Frente de Todos",0.134,0.235,0.269,0.247,0.317,0.261
"P21","Es un hombre de Massa",0.084,0.179,0.204,0.089,0.07,0.173
"P21","Es un peronista independiente de centro",0.269,0.065,0.067,0.109,0.264,0.036
"P21","Es un oportunista y está donde le conviene",0.222,0.236,0.199,0.303,0.234,0.132
"P21","No sabe",0.134,0.029,0.103,0.134,0.017,0.26
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.199,0.067,0.163,0.331,0.177,0.102
"P22","Son aliados tácticos pero lo ocultan",0.069,0.248,0.174,0.208,0.106,0.091
"P22","Son adversarios políticos",0.475,0.37,0.416,0.302,0.567,0.342
"P22","No sabe",0.257,0.315,0.247,0.159,0.15,0.465
"P23","Son lo mismo, ambos son de Massa",0.279,0.343,0.321,0.293,0.147,0.263
"P23","Son aliados en el Frente de Todos pero compiten",0.178,0.151,0.331,0.336,0.385,0.202
