"var","categoria","Es kirchnerista","Forma parte del Frente de Todos","Es un hombre de Massa","Es un peronista independiente de centro","Es un oportunista y está donde le conviene","No sabe"
"P07","Al candidato del Frente de Todos",0.364,0.509,0.284,0.378,0.171,0.218
"P07","Al candidato de Juntos por el Cambio",0.312,0.255,0.471,0.353,0.287,0.199
"P07","Al candidato de los liberales - libertarios",0.238,0.162,0.156,0.127,0.333,0.247
"P07","Al candidato de la Izquierda",0.007,0.038,0.006,0.004,0.06,0.105
"P07","A otro candidato",0.058,0.016,0.019,0.043,0.057,0.018
"P07","No sabe",0.021,0.02,0.064,0.095,0.092,0.213
"P08","A Julio Zamora por el Frente de Todos",0.376,0.325,0.224,0.391,0.069,0.254
"P08","A Malena Galmarini por el Frente de Todos",0.121,0.206,0.167,0.074,0.148,0.099
"P08","A Segundo Cernadas por Cambiemos",0.184,0.213,0.343,0.129,0.229,0.113
"P08","A Nicolás Massot por Cambiemos",0.116,0.089,0.09,0.292,0.078,0.074
"P08","Al candidato de los liberales libertarios",0.163,0.143,0.119,0.038,0.328,0.236
"P08","A Paula Akerfeld por el Frente de Izquierda",0.022,0.001,0.014,0.009,0.068,0.088
"P08","No sabe",0.018,0.023,0.043,0.067,0.08,0.136
"P10","A Julio Zamora por el Frente de Todos",0.345,0.442,0.263,0.444,0.106,0.304
"P10","A Segundo Cernadas por Cambiemos",0.291,0.314,0.526,0.297,0.26,0.16
"P10","Al candidato de los liberales libertarios",0.237,0.137,0.143,0.075,0.258,0.241
"P10","A Paula Akerfeld por el Frente de Izquierda",0.007,0.042,0.018,0.075,0.089,0.056
"P10","No sabe",0.12,0.065,0.05,0.109,0.287,0.239
"P12","A Malena Galmarini por el Frente de Todos",0.303,0.404,0.179,0.248,0.102,0.168
"P12","A Segundo Cernadas por Cambiemos",0.34,0.279,0.533,0.349,0.316,0.175
"P12","Al candidato de los liberales libertarios",0.204,0.168,0.215,0.214,0.36,0.245
"P12","A Paula Akerfeld por el Frente de Izquierda",0.01,0.058,0.022,0.077,0.071,0.059
"P12","No sabe",0.143,0.091,0.051,0.112,0.151,0.353
