"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P07","Al candidato del Frente de Todos",0.588,0.692,0.191,0.485
"P07","Al candidato de Juntos por el Cambio",0.156,0.152,0.383,0.202
"P07","Al candidato de los liberales - libertarios",0.118,0.018,0.29,0.038
"P07","Al candidato de la Izquierda",0.103,0.011,0.019,0
"P07","A otro candidato",0.007,0.012,0.049,0
"P07","No sabe",0.028,0.115,0.068,0.275
"P08","A Julio Zamora por el Frente de Todos",0.502,0.539,0.146,0.112
"P08","A Malena Galmarini por el Frente de Todos",0.15,0.31,0.097,0.568
"P08","A Segundo Cernadas por Cambiemos",0.149,0.022,0.274,0.069
"P08","A Nicolás Massot por Cambiemos",0.03,0.038,0.141,0
"P08","Al candidato de los liberales libertarios",0.059,0.043,0.253,0.038
"P08","A Paula Akerfeld por el Frente de Izquierda",0.083,0.003,0.024,0
"P08","No sabe",0.027,0.045,0.065,0.213
"P10","A Julio Zamora por el Frente de Todos",0.602,0.552,0.197,0.546
"P10","A Segundo Cernadas por Cambiemos",0.182,0.155,0.38,0.124
"P10","Al candidato de los liberales libertarios",0.065,0.02,0.242,0.066
"P10","A Paula Akerfeld por el Frente de Izquierda",0.078,0.022,0.034,0
"P10","No sabe",0.073,0.251,0.147,0.264
"P12","A Malena Galmarini por el Frente de Todos",0.436,0.521,0.126,0.485
"P12","A Segundo Cernadas por Cambiemos",0.256,0.113,0.419,0.151
"P12","Al candidato de los liberales libertarios",0.082,0.084,0.328,0.038
"P12","A Paula Akerfeld por el Frente de Izquierda",0.104,0.03,0.02,0
"P12","No sabe",0.122,0.252,0.107,0.326
"P14","Positiva",0.427,0.36,0.108,0.485
"P14","Neutra",0.181,0.368,0.142,0.107
"P14","Negativa",0.322,0.191,0.667,0.162
"P14","No sabe",0.07,0.081,0.083,0.246
"P15","Positiva",0.596,0.54,0.265,0.546
"P15","Neutra",0.187,0.279,0.225,0.107
"P15","Negativa",0.177,0.141,0.473,0.269
"P15","No sabe",0.04,0.04,0.037,0.078
"P16","Positiva",0.275,0.126,0.411,0.041
"P16","Neutra",0.203,0.206,0.255,0.592
"P16","Negativa",0.401,0.532,0.234,0.227
"P16","No sabe",0.121,0.136,0.1,0.14
"P17","Positiva",0.092,0.085,0.087,0
"P17","Neutra",0.229,0.29,0.29,0.162
"P17","Negativa",0.221,0.12,0.168,0
"P17","No sabe",0.458,0.505,0.455,0.838
"P18","Positiva",0.173,0.167,0.23,0.041
"P18","Neutra",0.184,0.324,0.37,0.083
"P18","Negativa",0.299,0.261,0.188,0.038
"P18","No sabe",0.344,0.248,0.212,0.838
"P19","Positiva",0.577,0.598,0.24,0.112
"P19","Neutra",0.19,0.141,0.311,0.592
"P19","Negativa",0.19,0.203,0.416,0.269
"P19","No sabe",0.043,0.058,0.033,0.027
"P20","Que continúe el intendente Julio Zamora",0.351,0.203,0.076,0.061
"P20","Que continúe Julio Zamora pero con mejoras",0.27,0.353,0.164,0.051
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.166,0.266,0.165,0.699
"P20","Que cambie el intendente Julio Zamora",0.213,0.178,0.595,0.189
"P21","Es kirchnerista",0.208,0.201,0.129,0.061
"P21","Forma parte del Frente de Todos",0.266,0.307,0.247,0.051
"P21","Es un hombre de Massa",0.217,0.178,0.138,0.08
"P21","Es un peronista independiente de centro",0.076,0.105,0.099,0.082
"P21","Es un oportunista y está donde le conviene",0.125,0.085,0.263,0.213
"P21","No sabe",0.108,0.124,0.124,0.513
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.161,0.192,0.148,0.145
"P22","Son aliados tácticos pero lo ocultan",0.072,0.161,0.175,0.107
"P22","Son adversarios políticos",0.4,0.372,0.429,0.151
"P22","No sabe",0.367,0.275,0.248,0.597
"P23","Son lo mismo, ambos son de Massa",0.297,0.258,0.294,0.186
"P23","Son aliados en el Frente de Todos pero compiten",0.284,0.335,0.265,0
"P23","Son enemigos porque Zamora traicionó a Massa",0.186,0.143,0.259,0.595
"P23","No sabe",0.233,0.264,0.182,0.219
"P24","La seguridad",0.102,0.147,0.285,0
"P24","El tránsito",0.077,0.067,0.076,0
"P24","El arreglo de las calles",0.228,0.157,0.076,0.107
"P24","El estado de las escuelas y la educación",0.102,0.167,0.031,0.041
"P24","El sistema de salud",0.134,0.147,0.077,0.168
"P24","El deporte y la cultura",0.158,0.126,0.106,0.485
"P24","La obra pública",0.083,0.068,0.043,0.051
"P24","La luminaria",0.024,0.045,0.108,0
"P24","No sabe",0.092,0.076,0.198,0.148
"P25","La seguridad",0.113,0.114,0.101,0
"P25","El tránsito",0.072,0.11,0.079,0
"P25","El arreglo de las calles",0.141,0.248,0.226,0
"P25","El estado de las escuelas y la educación",0.238,0.087,0.21,0.674
"P25","El sistema de salud",0.189,0.231,0.185,0.061
"P25","El deporte y la cultura",0.034,0.027,0.016,0
"P25","La obra pública",0.04,0.059,0.041,0.148
"P25","La luminaria",0.022,0.011,0.03,0
"P25","No sabe",0.151,0.113,0.112,0.117
"P26","Agua corriente y cloacas",0.399,0.362,0.413,0.041
"P26","Energía eléctrica",0.185,0.155,0.151,0.089
"P26","Red de gas natural",0.098,0.038,0.053,0
"P26","Recolección de residuos",0.11,0.229,0.177,0.189
"P26","Ninguno",0.208,0.216,0.206,0.681
"P27","Los robos",0.265,0.292,0.255,0
"P27","El narcotráfico",0.396,0.321,0.341,0.121
