"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.727,0.152,0.07,0.175,0.177
"P07","Al candidato de Juntos por el Cambio",0.081,0.657,0.119,0.089,0.134
"P07","Al candidato de los liberales - libertarios",0.042,0.082,0.709,0.09,0.125
"P07","Al candidato de la Izquierda",0.028,0.004,0.021,0.452,0.045
"P07","A otro candidato",0.032,0.05,0.063,0.093,0.218
"P07","No sabe",0.09,0.055,0.018,0.101,0.301
"P08","A Malena Galmarini",0.465,0.68,0.627,0.213,0.796
"P08","A Julio Zamora",0.535,0.32,0.373,0.787,0.204
"P09","A Segundo Cernadas",0.352,0.613,0.6,0.387,0.266
"P09","A Nicolás Massot",0.648,0.387,0.4,0.613,0.734
"P10","A Malena Galmarini por el Frente de Todos",0.334,0.114,0.147,0.134,0.151
"P10","A Julio Zamora por el Frente de Todos",0.496,0.058,0.024,0.181,0.065
"P10","A Segundo Cernadas por Juntos por el Cambio",0.047,0.55,0.128,0.052,0.029
"P10","A Nicolás Massot por Juntos por el Cambio",0.051,0.155,0.043,0.126,0.07
"P10","Al candidato de los liberales libertarios",0.008,0.051,0.605,0.072,0.14
"P10","A Paula Akerfeld por el Frente de Izquierda",0.018,0.014,0.018,0.37,0.051
"P10","No sabe",0.046,0.058,0.035,0.065,0.494
"P14","A Malena Galmarini por el Frente de Todos",0.58,0.167,0.067,0.135,0.181
"P14","A Segundo Cernadas por Juntos por el Cambio",0.177,0.752,0.051,0.092,0.07
"P14","Al candidato de los liberales libertarios",0.049,0.026,0.835,0.03,0.122
"P14","A Paula Akerfeld por el Frente de Izquierda",0.023,0.028,0.018,0.539,0.014
"P14","No sabe",0.171,0.027,0.029,0.204,0.613
"P16","A Malena Galmarini por el Frente de Todos",0.441,0.127,0.13,0.168,0.192
"P16","A Segundo Cernadas por Juntos por el Cambio",0.093,0.633,0.079,0.064,0.083
"P16","A Nicolás Massot por Juntos por el Cambio",0.07,0.165,0.118,0.057,0.075
"P16","A Julio Zamora por un partido vecinal",0.34,0.032,0.023,0.19,0.026
"P16","Al candidato de los liberales libertarios",0.025,0.028,0.626,0.024,0.256
"P16","A Paula Akerfeld por el Frente de Izquierda",0.004,0.001,0.003,0.426,0.008
"P16","No sabe",0.027,0.014,0.021,0.071,0.36
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.496,0.106,0.064,0.146,0.206
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.19,0.05,0.038,0.022,0.049
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.072,0.427,0.138,0.143,0.125
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.042,0.215,0.034,0.013,0.077
