"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros","No sabe"
"P05","Mucho",0.477,0.409,0.564,0.382,0.437,0.316
"P05","Bastante",0.354,0.296,0.188,0.482,0.358,0.316
"P05","Poco",0.103,0.19,0.16,0.136,0.135,0.312
"P05","Nada",0.043,0.105,0.073,0,0.045,0.053
"P05","No sabe",0.023,0,0.015,0,0.025,0.003
"P06","Siempre",0.247,0.276,0.179,0.043,0.209,0.101
"P06","Casi siempre",0.358,0.38,0.327,0.533,0.457,0.408
"P06","Casi nunca",0.177,0.274,0.294,0.366,0.29,0.235
"P06","Nunca, pero esta es una excepción",0.218,0.07,0.2,0.058,0.044,0.256
"P07","Tiene Decidido que va a ir a votar.",0.862,0.827,0.892,0.835,0.883,0.78
"P07","Tiene dudas sobre si va a ir a  votar",0.091,0.099,0.1,0.148,0.106,0.189
"P07","Tiene Decidido que no va a ir a votar",0.047,0.074,0.008,0.017,0.011,0.031
"P09","Unión por la Patria",0.681,0.196,0.066,0.22,0.394,0.146
"P09","Juntos por el Cambio",0.075,0.668,0.129,0.127,0.302,0.317
"P09","De los Liberales libertarios",0.143,0.06,0.771,0,0.029,0.089
"P09","De la Izquierda",0.007,0.036,0.005,0.546,0.002,0
"P09","Hacemos por nuestro país",0.002,0.002,0.018,0,0.009,0.008
"P09","Otro",0.035,0.021,0,0.107,0.225,0.217
"P09","En blanco",0.005,0,0.006,0,0.023,0.056
"P09","No sabe",0.052,0.017,0.005,0,0.016,0.167
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.606,0.148,0.016,0.017,0.04,0.011
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.09,0.032,0.003,0.014,0.042,0
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.089,0.052,0.064,0.323,0.407,0.239
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.038,0.335,0.11,0.008,0.219,0.206
"P12","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.063,0.361,0.034,0,0.086,0.164
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.088,0.035,0.753,0.096,0.026,0.049
"P12","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0,0,0.001,0.542,0.017,0.045
"P12","Otros",0.004,0.011,0.017,0,0.156,0.015
"P12","No sabe",0.022,0.026,0.002,0,0.007,0.271
"P15","Totalmente seguro.",0.754,0.65,0.871,0.771,0.612,0.408
"P15","Bastante seguro",0.138,0.133,0.065,0.094,0.2,0.095
"P15","Algo seguro",0.039,0.119,0.028,0.034,0.084,0.159
"P15","Para nada seguro",0.069,0.098,0.036,0.101,0.104,0.338
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.534,0.06,0.073,0.228,0.093,0.064
"P17","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.148,0.073,0,0.309,0.241,0.149
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.114,0.521,0.164,0.15,0.283,0.392
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.081,0.27,0.032,0,0.098,0.221
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora  por la Libertad Avanza",0.111,0.044,0.717,0.07,0.064,0.047
"P17","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.005,0,0.01,0.114,0.011,0
"P17","Otros",0.005,0.024,0,0.129,0.157,0.015
"P17","No sabe",0.002,0.008,0.004,0,0.053,0.112
"P20","Malena Galmarini a intendenta por Unión por la Patria",0.306,0.08,0.106,0.025,0.016,0.06
"P20","Julio Zamora a intendente por Unión por la Patria",0.371,0.366,0.29,0.418,0.714,0.587
"P20","Claudio Cufré a intendente por Juntos por el Cambio",0.102,0.063,0.112,0.192,0.03,0.106
"P20","Segundo Cernadas a intendente por Juntos por el Cambio",0.101,0.449,0.253,0.279,0.174,0.1
"P20","Claudio Baumgarten a intendente por la Libertad Avanza",0.078,0.031,0.224,0,0.002,0
"P20","Alguno de los candidatos a intendente de la Izquierda",0.004,0.002,0,0.05,0.016,0
"P20","Otros",0.026,0.002,0.003,0.036,0.017,0.009
"P20","No sabe",0.012,0.007,0.012,0,0.031,0.138
"P23","Totalmente seguro",0.679,0.645,0.8,0.707,0.678,0.44
"P23","Bastante seguro",0.139,0.285,0.086,0.251,0.191,0.217
"P23","Algo seguro",0.091,0.038,0.094,0.042,0.067,0.014
"P23","Para nada seguro",0.091,0.032,0.02,0,0.064,0.329
"P24","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.708,0.146,0.073,0.163,0.039,0.04
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.151,0.519,0.153,0.076,0.209,0.108
"P24","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.106,0.102,0.704,0,0.025,0.116
"P24","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.019,0.029,0.003,0.693,0.021,0.011
"P24","Otros",0.007,0.176,0.027,0.068,0.526,0.181
"P24","No sabe",0.009,0.028,0.04,0,0.18,0.544
"P28","Lo votaría",0.708,0.138,0.057,0,0.061,0
"P28","Puede que lo vote",0.117,0.124,0.063,0.084,0.146,0.043
"P28","Nunca lo votaría",0.162,0.724,0.868,0.768,0.654,0.548
"P28","No sabe",0.013,0.014,0.012,0.148,0.139,0.409
"P29","Lo votaría",0.312,0.142,0.023,0.062,0.127,0
"P29","Puede que lo vote",0.27,0.033,0.012,0.1,0.087,0.024
"P29","Nunca lo votaría",0.311,0.818,0.939,0.821,0.671,0.661
"P29","No sabe",0.107,0.007,0.026,0.017,0.115,0.315
"P30","Lo votaría",0.307,0.083,0.036,0.296,0.404,0.142
"P30","Puede que lo vote",0.193,0.064,0.062,0.015,0.046,0.007
"P30","Nunca lo votaría",0.462,0.833,0.901,0.672,0.412,0.529
"P30","No sabe",0.038,0.02,0.001,0.017,0.138,0.322
"P31","Lo votaría",0.111,0.433,0.139,0.074,0.295,0.122
"P31","Puede que lo vote",0.108,0.267,0.306,0.029,0.144,0.13
"P31","Nunca lo votaría",0.759,0.279,0.514,0.879,0.527,0.451
"P31","No sabe",0.022,0.021,0.041,0.018,0.034,0.297
"P32","Lo votaría",0.114,0.559,0.103,0,0.19,0.172
"P32","Puede que lo vote",0.081,0.27,0.186,0.032,0.105,0.169
"P32","Nunca lo votaría",0.773,0.154,0.651,0.95,0.6,0.354
"P32","No sabe",0.032,0.017,0.06,0.018,0.105,0.305
"P33","Lo votaría",0.098,0.167,0.727,0,0.002,0.053
"P33","Puede que lo vote",0.056,0.171,0.09,0.017,0.16,0.099
"P33","Nunca lo votaría",0.827,0.636,0.182,0.873,0.637,0.564
"P33","No sabe",0.019,0.026,0.001,0.11,0.201,0.284
"P34","Si",0.371,0.373,0.448,0.343,0.359,0.288
"P34","No",0.629,0.627,0.552,0.657,0.641,0.712
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.641,0.143,0.036,0.086,0.073,0.042
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.154,0.081,0.022,0.194,0.26,0.139
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.058,0.367,0.104,0.103,0.251,0.3
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.066,0.349,0.043,0,0.099,0.222
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.072,0.042,0.782,0.033,0.054,0.06
"PRESIDENTE","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.003,0,0.008,0.516,0.012,0
"PRESIDENTE","Otros",0.002,0.013,0.002,0.068,0.223,0.01
"PRESIDENTE","No sabe",0.004,0.005,0.003,0,0.028,0.227
"INTENDENTE","Malena Galmarini a intendenta por Unión por la Patria",0.596,0.176,0.055,0.026,0.022,0.036
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria",0.199,0.208,0.162,0.244,0.596,0.412
"INTENDENTE","Claudio Cufré a intendente por Juntos por el Cambio",0.055,0.108,0.074,0.068,0.05,0.122
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0.07,0.464,0.157,0.171,0.181,0.16
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0.06,0.037,0.541,0,0.008,0.031
"INTENDENTE","Alguno de los candidatos a intendente de la Izquierda",0.001,0.001,0.002,0.474,0.014,0
"INTENDENTE","Otros",0.01,0.002,0.003,0.017,0.109,0.005
"INTENDENTE","No sabe",0.009,0.004,0.006,0,0.02,0.234
"INTENDENTE_CORTA_1","Malena Galmarini a intendenta por Unión por la Patria",0.517,0.075,0.011,0.017,0.17,0.026
"INTENDENTE_CORTA_1","Julio Zamora a intendente por Unión por la Patria",0.015,0.028,0.025,0.394,0.005,0.128
"INTENDENTE_CORTA_1","Claudio Cufré a intendente por Juntos por el Cambio",0.11,0.577,0.193,0.022,0.546,0.195
"INTENDENTE_CORTA_1","Segundo Cernadas a intendente por Juntos por el Cambio",0.042,0.206,0.017,0,0.048,0.193
"INTENDENTE_CORTA_1","Claudio Baumgarten a intendente por la Libertad Avanza",0.239,0.026,0.704,0.194,0.039,0.034
"INTENDENTE_CORTA_1","Alguno de los candidatos a intendente de la Izquierda",0,0,0,0.373,0.054,0.172
"INTENDENTE_CORTA_1","Otros",0,0.021,0.046,0,0.121,0.022
"INTENDENTE_CORTA_1","No sabe",0.077,0.067,0.004,0,0.017,0.23
"INTENDENTE_CORTA_2","Malena Galmarini a intendenta por Unión por la Patria",0.068,0.069,0.157,0,0,0.102
"INTENDENTE_CORTA_2","Julio Zamora a intendente por Unión por la Patria",0.496,0.413,0.336,0.017,0.596,0.63
"INTENDENTE_CORTA_2","Claudio Cufré a intendente por Juntos por el Cambio",0.173,0.024,0.104,0.352,0.015,0
