"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Siempre",0.283,0.09,0.08,0.032,0.155
"P06","Casi siempre",0.277,0.407,0.213,0.223,0.06
"P06","Casi nunca",0.323,0.365,0.551,0.47,0.293
"P06","Nunca, pero esta es una excepción",0.117,0.138,0.156,0.275,0.492
"P10","Unión por la Patria",0.416,0.352,0.348,0.011,0.096
"P10","Juntos por el Cambio",0.221,0.3,0.245,0.14,0.18
"P10","De los Liberales libertarios",0.261,0.19,0.191,0.388,0
"P10","De la Izquierda",0.051,0.039,0.043,0.036,0.031
"P10","Hacemos por nuestro país",0.01,0.015,0.021,0.025,0.181
"P10","En blanco",0.014,0.03,0.056,0.077,0.109
"P10","No sabe",0.027,0.074,0.096,0.323,0.403
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.406,0.354,0.45,0.119,0.552
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.25,0.33,0.195,0.194,0.089
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.272,0.21,0.25,0.219,0
"P13","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.019,0.01,0.015,0.14,0.039
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.019,0.027,0.007,0.045,0.113
"P13","En blanco",0.015,0.016,0.002,0.033,0.112
"P13","No sabe",0.019,0.053,0.081,0.25,0.095
"P16","Si",0.381,0.471,0.585,0.752,0.496
"P16","No",0.619,0.529,0.415,0.248,0.504
"P17","Sergio Massa a presidente por Unión por la Patria.",0.288,0.195,0.285,0.027,0.131
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.29,0.379,0.197,0.211,0.417
"P17","Javier Milei a presidente por la Libertad Avanza",0.366,0.275,0.388,0.558,0
"P17","Myriam Bregman a presidenta por el Frente de Izquierda",0.007,0.031,0.047,0,0.336
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.037,0.03,0.008,0,0
"P17","En blanco",0.007,0.006,0.005,0.048,0
"P17","No sabe",0.005,0.084,0.07,0.156,0.116
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.285,0.233,0.205,0,0.13
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.288,0.398,0.294,0.328,0.528
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.315,0.282,0.286,0.117,0
"P20","El candidato a gobernador de la Izquierda",0.036,0.012,0.05,0.147,0
"P20","En blanco",0.034,0.017,0.048,0,0.221
"P20","No sabe",0.042,0.058,0.117,0.408,0.121
"P23","Julio Zamora a intendente por Unión por la Patria.",0.502,0.431,0.589,0.528,0.543
"P23","Segundo Cernadas a intendente por Juntos por el Cambio",0.324,0.376,0.225,0.286,0.041
"P23","Claudio Baumgarten a intendente por la Libertad Avanza",0.094,0.116,0.058,0.163,0.199
"P23","Paula Akerfeld a intendenta por el Frente de Izquierda",0.043,0.02,0.018,0.023,0
"P23","En blanco",0.019,0.019,0.019,0,0.217
"P23","No sabe",0.018,0.038,0.091,0,0
"P26","Totalmente seguro.",0.721,0.704,0.527,0.356,0.185
"P26","Bastante seguro",0.21,0.216,0.259,0.185,0.21
"P26","Algo seguro",0.051,0.066,0.135,0.278,0.069
"P26","Para nada seguro",0.018,0.014,0.079,0.181,0.536
"P27","Tiene Decidido que va a ir a votar.",0.925,0.957,0.865,0.641,0.833
"P27","Tiene dudas sobre si va a ir a  votar",0.066,0.037,0.088,0.277,0.167
"P27","Tiene Decidido que no va a ir a votar",0.009,0.006,0.047,0.082,0
"P28","Si",0.488,0.362,0.384,0.084,0.617
"P28","No",0.512,0.638,0.616,0.916,0.383
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.411,0.348,0.381,0.04,0.424
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.259,0.345,0.226,0.229,0.189
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.295,0.206,0.297,0.434,0
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.013,0.013,0.026,0.013,0.18
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.015,0.029,0.004,0,0
"PRESIDENTE","En blanco",0.003,0.006,0.003,0.045,0.112
"PRESIDENTE","No sabe",0.004,0.053,0.063,0.239,0.095
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.413,0.362,0.341,0.026,0.422
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.259,0.354,0.275,0.294,0.254
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.271,0.209,0.25,0.147,0
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.024,0.005,0.026,0.116,0
"GOBERNADOR","En blanco",0.014,0.03,0.026,0,0.228
"GOBERNADOR","No sabe",0.019,0.04,0.082,0.417,0.096
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria.",0.486,0.451,0.555,0.391,0.659
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0.268,0.341,0.247,0.254,0.017
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0.202,0.141,0.112,0.177,0.073
"INTENDENTE","Paula Akerfeld a intendenta por el Frente de Izquierda",0.026,0.007,0.012,0.036,0
"INTENDENTE","En blanco",0.01,0.029,0.009,0,0.223
"INTENDENTE","No sabe",0.008,0.031,0.065,0.142,0.028
"CORTA_PRESIDENTE","Si",0.153,0.135,0.154,0.364,0.355
"CORTA_PRESIDENTE","No",0.847,0.865,0.846,0.636,0.645
"CORTA_GOBERNADOR","Si",0.182,0.193,0.324,0.443,0.355
"CORTA_GOBERNADOR","No",0.818,0.807,0.676,0.557,0.645
"CORTA_INTENDENTE","Si",0.239,0.305,0.419,0.469,0.291
"CORTA_INTENDENTE","No",0.761,0.695,0.581,0.531,0.709
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.415,0.379,0.484,0.144,0.552
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.256,0.348,0.216,0.266,0.184
