"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.764,0.124,0.086,0.138,0.007,0.099,0.144,0.106
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.12,0.782,0.098,0.117,0.07,0.155,0,0.073
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.067,0.057,0.772,0.146,0.37,0.146,0.231,0.144
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.018,0.015,0.012,0.481,0.047,0.11,0,0.005
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.015,0.005,0.083,0.506,0.321,0.048,0.089
"P13","En blanco",0.007,0.004,0.003,0.035,0,0.145,0.208,0.028
"P13","No sabe",0.012,0.003,0.024,0,0,0.024,0.369,0.555
"P16","Union por la Patria",0.753,0.085,0.135,0.254,0.13,0.048,0.169,0.068
"P16","Cambiemos",0.107,0.806,0.26,0.154,0.532,0.275,0,0.06
"P16","Liberales",0.056,0.057,0.518,0.153,0.081,0.209,0,0.084
"P16","Izquierda",0.047,0.006,0.03,0.339,0.061,0.036,0.028,0.022
"P16","No sabe",0.037,0.046,0.057,0.1,0.196,0.432,0.803,0.766
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.658,0.107,0.116,0.341,0.173,0.066,0.226,0.152
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.145,0.764,0.26,0.093,0.279,0.305,0,0.106
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.09,0.073,0.51,0.129,0.267,0.174,0.036,0.103
"P17","La candidata a Jefe de Gobierno de la izquierda",0.055,0.004,0.025,0.288,0,0,0,0.006
"P17","En blanco",0.03,0.035,0.047,0.028,0.055,0.268,0.591,0.101
"P17","No sabe",0.022,0.017,0.042,0.121,0.226,0.187,0.147,0.532
"P26","Totalmente seguro",0.71,0.729,0.712,0.608,0.462,0.43,0.179,0.289
"P26","Bastante seguro",0.12,0.156,0.147,0.128,0.269,0.081,0.07,0.093
"P26","Algo seguro",0.127,0.078,0.116,0.124,0.256,0.253,0.185,0.207
"P26","Para nada seguro",0.043,0.037,0.025,0.14,0.013,0.236,0.566,0.411
"P27","Tiene Decidido que va a ir a votar",0.937,0.915,0.935,0.771,0.912,0.572,0.775,0.782
"P27","Tiene dudas sobre si va a ir a  votar",0.041,0.068,0.047,0.155,0.088,0.303,0.095,0.18
"P27","Tiene Decidido que no va a ir a votar",0.022,0.017,0.018,0.074,0,0.125,0.13,0.038
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.881,0.121,0.124,0.339,0.247,0.164,0.072,0.367
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.089,0.822,0.407,0.148,0.295,0.24,0.259,0.17
"P28","En blanco",0.01,0.028,0.293,0.312,0.011,0.299,0.35,0.12
"P28","No sabe",0.02,0.029,0.176,0.201,0.447,0.297,0.319,0.343
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.368,0.812,0.164,0.229,0.34,0.245,0.128,0.121
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.069,0.125,0.768,0.156,0.525,0.232,0.123,0.235
"P29","En blanco",0.385,0.041,0.044,0.429,0.055,0.196,0.491,0.221
"P29","No sabe",0.178,0.022,0.024,0.186,0.08,0.327,0.258,0.423
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.85,0.18,0.141,0.407,0.111,0.189,0.067,0.231
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.28,0.754,0.162,0.603,0.219,0.149,0.24
"P30","En blanco",0.059,0.372,0.066,0.286,0.167,0.318,0.389,0.18
"P30","No sabe",0.037,0.168,0.039,0.145,0.119,0.274,0.395,0.349
"P38","Inflación",0.45,0.34,0.411,0.093,0.593,0.312,0.433,0.242
"P38","Desempleo",0.108,0.044,0.076,0.121,0,0.206,0.052,0.115
"P38","Corrupción",0.081,0.392,0.341,0.211,0.309,0.129,0.406,0.277
"P38","Inseguridad",0.108,0.126,0.105,0.173,0.04,0.056,0,0
"P38","Precio del dólar",0.014,0.005,0.018,0.029,0,0.03,0,0.052
"P38","Pobreza",0.112,0.03,0.026,0.11,0,0.035,0,0.201
"P38","Narcotráfico",0.002,0.007,0.004,0,0,0,0,0.025
"P38","Tarifas",0.009,0.006,0,0,0,0,0,0
"P38","Otro",0.083,0.04,0.013,0.254,0.058,0.187,0,0.088
"P38","No sabe",0.033,0.01,0.006,0.009,0,0.045,0.109,0
