"var","categoria","Unión por la Patria","La Libertad Avanza","En blanco","No sabe"
"P10","Siempre",0.23,0.208,0.151,0.19
"P10","Casi siempre",0.287,0.303,0.181,0.224
"P10","Casi nunca",0.312,0.323,0.557,0.25
"P10","Nunca, pero esta es una excepción",0.171,0.166,0.111,0.336
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.862,0.078,0.153,0.173
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.122,0.9,0.263,0.234
"P13","En blanco",0.009,0.015,0.515,0.066
"P13","No sabe",0.007,0.007,0.069,0.527
"P15","Totalmente seguro",0.833,0.762,0.452,0.426
"P15","Bastante seguro",0.109,0.116,0.193,0.117
"P15","Algo seguro",0.035,0.075,0.184,0.104
"P15","Para nada seguro",0.023,0.047,0.171,0.353
"P16","Tiene Decidido que va a ir a votar",0.955,0.944,0.72,0.754
"P16","Tiene dudas sobre si va a ir a  votar",0.028,0.037,0.149,0.162
"P16","Tiene Decidido que no va a ir a votar",0.017,0.019,0.131,0.084
"P17","Lo votaría",0.893,0.1,0.242,0.273
"P17","Puede que lo vote",0.05,0.048,0.108,0.118
"P17","Nunca lo votaría",0.052,0.835,0.526,0.435
"P17","No sabe",0.005,0.017,0.124,0.174
"P18","Lo votaría",0.142,0.745,0.213,0.255
"P18","Puede que lo vote",0.057,0.125,0.146,0.164
"P18","Nunca lo votaría",0.787,0.124,0.521,0.359
"P18","No sabe",0.014,0.006,0.12,0.222
"P19","Si",0.88,0.881,0.799,0.652
"P19","No",0.12,0.119,0.201,0.348
"P20","Sergio Massa",0.926,0.297,0.681,0.54
"P20","Javier Milei",0.074,0.703,0.319,0.46
"P21","Sergio Massa",0.925,0.141,0.55,0.547
"P21","Javier Milei",0.075,0.859,0.45,0.453
"P22","Sergio Massa",0.919,0.156,0.542,0.524
"P22","Javier Milei",0.081,0.844,0.458,0.476
"P23","Sergio Massa",0.932,0.129,0.484,0.501
"P23","Javier Milei",0.068,0.871,0.516,0.499
"P24","Si",0.805,0.118,0.391,0.384
"P24","No",0.195,0.882,0.609,0.616
"P25","Si",0.228,0.875,0.648,0.714
"P25","No",0.772,0.125,0.352,0.286
"P28","Inflación",0.421,0.329,0.314,0.287
"P28","Desempleo",0.087,0.038,0.074,0.127
"P28","Corrupción",0.113,0.461,0.32,0.348
"P28","Inseguridad",0.096,0.086,0.127,0.076
"P28","Precio del dólar",0.019,0.011,0,0.022
"P28","Pobreza",0.138,0.035,0.066,0.092
"P28","Narcotráfico",0.006,0.008,0.018,0.009
"P28","Tarifas",0.011,0.004,0,0
"P28","Otro",0.092,0.023,0.057,0.034
"P28","No sabe",0.017,0.005,0.024,0.005
"P32","Sin deuda",0.491,0.41,0.397,0.381
"P32","Menos de 10%",0.161,0.165,0.215,0.086
"P32","Entre 10 y 20%",0.109,0.145,0.124,0.161
"P32","Entre 20 y 30%",0.08,0.079,0.054,0.073
"P32","Entre 30 y 40%",0.045,0.055,0.05,0.081
