"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P10","Siempre",0.247,0.179,0.177,0.071
"P10","Casi siempre",0.303,0.253,0.302,0.472
"P10","Casi nunca",0.289,0.348,0.363,0.259
"P10","Nunca, pero esta es una excepción",0.161,0.22,0.158,0.198
"P11","Unión por la Patria",0.799,0.553,0.122,0.228
"P11","La Libertad Avanza",0.116,0.228,0.738,0.69
"P11","En blanco",0.049,0.107,0.085,0
"P11","No sabe",0.036,0.112,0.055,0.082
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.828,0.605,0.119,0.228
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.135,0.245,0.8,0.69
"P13","En blanco",0.022,0.06,0.046,0
"P13","No sabe",0.015,0.09,0.035,0.082
"P15","Totalmente seguro",0.851,0.626,0.754,0.883
"P15","Bastante seguro",0.109,0.157,0.11,0.035
"P15","Algo seguro",0.029,0.111,0.068,0
"P15","Para nada seguro",0.011,0.106,0.068,0.082
"P16","Tiene Decidido que va a ir a votar",0.937,0.837,0.948,1
"P16","Tiene dudas sobre si va a ir a  votar",0.039,0.065,0.036,0
"P16","Tiene Decidido que no va a ir a votar",0.024,0.098,0.016,0
"P17","Lo votaría",0.875,0.6,0.154,0.228
"P17","Puede que lo vote",0.042,0.087,0.042,0
"P17","Nunca lo votaría",0.058,0.237,0.788,0.69
"P17","No sabe",0.025,0.076,0.016,0.082
"P18","Lo votaría",0.13,0.224,0.671,0.609
"P18","Puede que lo vote",0.054,0.137,0.109,0.081
"P18","Nunca lo votaría",0.805,0.588,0.194,0.228
"P18","No sabe",0.011,0.051,0.026,0.082
"P19","Si",0.859,0.873,0.912,0.818
"P19","No",0.141,0.127,0.088,0.182
"P20","Sergio Massa",0.933,0.793,0.353,0.529
"P20","Javier Milei",0.067,0.207,0.647,0.471
"P21","Sergio Massa",0.916,0.778,0.216,0.311
"P21","Javier Milei",0.084,0.222,0.784,0.689
"P22","Sergio Massa",0.916,0.777,0.219,0.311
"P22","Javier Milei",0.084,0.223,0.781,0.689
"P23","Sergio Massa",0.916,0.791,0.193,0.229
"P23","Javier Milei",0.084,0.209,0.807,0.771
"P24","Si",0.844,0.595,0.136,0.299
"P24","No",0.156,0.405,0.864,0.701
"P25","Si",0.224,0.367,0.858,0.771
"P25","No",0.776,0.633,0.142,0.229
"P28","Inflación",0.447,0.402,0.331,0.081
"P28","Desempleo",0.083,0.129,0.035,0.106
"P28","Corrupción",0.105,0.165,0.439,0.147
"P28","Inseguridad",0.07,0.126,0.09,0.066
"P28","Precio del dólar",0.025,0.004,0.006,0
"P28","Pobreza",0.138,0.068,0.052,0.484
"P28","Narcotráfico",0.008,0.003,0.009,0
"P28","Tarifas",0.021,0,0.003,0
"P28","Otro",0.092,0.086,0.029,0.116
"P28","No sabe",0.011,0.017,0.006,0
"P32","Sin deuda",0.507,0.478,0.401,0.341
"P32","Menos de 10%",0.163,0.139,0.161,0
"P32","Entre 10 y 20%",0.124,0.113,0.148,0.082
"P32","Entre 20 y 30%",0.06,0.083,0.082,0.324
"P32","Entre 30 y 40%",0.032,0.049,0.062,0
"P32","Mas del 40%",0.087,0.099,0.107,0.187
"P32","No sabe",0.027,0.039,0.039,0.066
"P33","Gran excedente habitual",0.029,0.007,0.012,0
"P33","Gran excedente excepcional",0.007,0.006,0.005,0
"P33","Pequeño excedente habitual",0.111,0.12,0.071,0.159
"P33","Pequeño excedente excepcional",0.088,0.07,0.066,0
"P33","Alcanza gastos familia",0.201,0.133,0.143,0
"P33","No alcanza gastos familia",0.078,0.13,0.104,0.441
"P33","Solo NBFamiliares",0.214,0.262,0.298,0.163
"P33","No alcanza NBFamiliares",0.257,0.268,0.284,0.171
"P33","No sabe",0.015,0.004,0.017,0.066
"P34","Positiva",0.454,0.295,0.235,0.39
"P34","Neutra",0.392,0.466,0.469,0.245
"P34","Negativa",0.133,0.224,0.279,0.288
"P34","No sabe",0.021,0.015,0.017,0.077
"P35","Mejor",0.2,0.184,0.075,0.117
"P35","Igual",0.483,0.404,0.119,0.193
"P35","Peor",0.282,0.343,0.78,0.69
"P35","No sabe",0.035,0.069,0.026,0
"P36","Mejor",0.359,0.184,0.094,0.117
"P36","Igual",0.302,0.381,0.209,0.081
"P36","Peor",0.18,0.247,0.504,0.538
"P36","No sabe",0.159,0.188,0.193,0.264
"P37","Positiva",0.287,0.111,0.087,0.035
