"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.092,0.09,0.094,0.14,0.088,0.065,0.075,0.181,0.064,0.082,0.186,0.044,0.124,0.211,0.103,0.027,0.085,0.008,6
"Buena",0.168,0.163,0.172,0.201,0.188,0.149,0.117,0.127,0.174,0.178,0.383,0.058,0.21,0.356,0.366,0.038,0.079,0.034,6
"Ni buena ni mala",0.152,0.178,0.131,0.17,0.168,0.121,0.138,0.185,0.169,0.129,0.234,0.109,0.136,0.196,0.259,0.098,0.088,0.14,6
"Mala",0.219,0.196,0.238,0.143,0.186,0.245,0.332,0.232,0.238,0.2,0.098,0.271,0.215,0.087,0.138,0.315,0.354,0.235,6
"Muy mala",0.362,0.368,0.357,0.346,0.36,0.414,0.329,0.262,0.349,0.405,0.092,0.512,0.315,0.141,0.112,0.52,0.387,0.579,6
"No sabe",0.007,0.005,0.008,0,0.01,0.006,0.009,0.013,0.006,0.006,0.007,0.006,0,0.009,0.022,0.002,0.007,0.004,6
"Positiva",0.26,0.253,0.266,0.341,0.276,0.214,0.192,0.308,0.238,0.26,0.569,0.102,0.334,0.567,0.469,0.065,0.164,0.042,4
"Neutra",0.152,0.178,0.131,0.17,0.168,0.121,0.138,0.185,0.169,0.129,0.234,0.109,0.136,0.196,0.259,0.098,0.088,0.14,4
"Negativa",0.581,0.564,0.595,0.489,0.546,0.659,0.661,0.494,0.587,0.605,0.19,0.783,0.53,0.228,0.25,0.835,0.741,0.814,4
"No sabe",0.007,0.005,0.008,0,0.01,0.006,0.009,0.013,0.006,0.006,0.007,0.006,0,0.009,0.022,0.002,0.007,0.004,4
