"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P09","Unión por la Patria",0.316,0.234,0.142,0.185,0.692,0.37,0.137,0.433,0.424,0.251
"P09","Juntos por el Cambio",0.258,0.325,0.348,0.418,0.022,0.346,0.287,0.025,0.144,0.072
"P09","De los liberales libertarios",0.282,0.148,0.317,0.207,0.13,0.101,0.279,0.331,0.075,0.385
"P09","De la Izquierda",0.047,0.068,0.026,0.05,0,0.107,0,0,0.006,0
"P09","Hacemos por nuestro país",0,0.014,0.02,0.032,0,0,0.07,0,0.02,0
"P09","Otro",0.025,0.057,0.039,0.014,0.121,0.047,0.047,0.211,0.192,0.166
"P09","En blanco",0.026,0.051,0.049,0.016,0,0.016,0.09,0,0.068,0
"P09","No sabe",0.046,0.103,0.059,0.078,0.035,0.013,0.09,0,0.071,0.126
"P19","Sergio Massa Presidente, Agustin Rossi Vicepresidente , Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.291,0.202,0.112,0.236,0.429,0.383,0.109,0.07,0.268,0.244
"P19","Juan Grabois Presidente, Paula Abal Medina Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.1,0.119,0.039,0.074,0.221,0.107,0.032,0.36,0.159,0
"P19","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.17,0.202,0.248,0.29,0.211,0.213,0.014,0.054,0.109,0.104
"P19","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente, Diego Santilli gobernador y Gustavo Posse vicegobernador; por Juntos por el Cambio",0.108,0.231,0.152,0.133,0,0.09,0.277,0,0.075,0.026
"P19","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.226,0.128,0.324,0.189,0.139,0.108,0.456,0.303,0.107,0.155
"P19","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de las diferentes opciones de izquierda",0.01,0.011,0.009,0.042,0,0.086,0,0,0.027,0
"P19","Juan Schiaretti a presidente y Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.001,0.004,0.031,0.002,0,0.013,0,0,0.082,0.018
"P19","Otros",0.021,0.033,0.02,0.002,0,0,0,0.213,0.069,0
"P19","En blanco",0.029,0.011,0.011,0.008,0,0,0.094,0,0.096,0
"P19","No sabe",0.044,0.059,0.054,0.024,0,0,0.018,0,0.008,0.453
"P22","Totalmente seguro.",0.676,0.516,0.599,0.576,0.794,0.601,0.62,0.641,0.591,0.317
"P22","Bastante seguro",0.155,0.138,0.134,0.164,0.084,0.111,0.072,0.359,0.097,0.462
"P22","Algo seguro",0.08,0.195,0.136,0.115,0.122,0.218,0.167,0,0.142,0
"P22","Para nada seguro",0.089,0.151,0.131,0.145,0,0.07,0.141,0,0.17,0.221
"P23","Tiene Decidido que va a ir a votar.",0.909,0.885,0.884,0.888,0.811,0.93,0.697,0.699,0.877,0.772
"P23","Tiene dudas sobre si va a ir a  votar",0.047,0.106,0.064,0.046,0.189,0.063,0.233,0.301,0.06,0.025
"P23","Tiene Decidido que no va a ir a votar",0.044,0.009,0.052,0.066,0,0.007,0.07,0,0.063,0.203
"P09_imputada","Unión por la Patria",0.326,0.234,0.149,0.188,0.727,0.37,0.156,0.433,0.424,0.251
"P09_imputada","Juntos por el Cambio",0.271,0.351,0.38,0.462,0.022,0.346,0.287,0.025,0.144,0.097
"P09_imputada","De los liberales libertarios",0.289,0.165,0.332,0.218,0.13,0.114,0.35,0.331,0.122,0.385
"P09_imputada","De la Izquierda",0.05,0.128,0.03,0.056,0,0.107,0,0,0.03,0.047
"P09_imputada","Hacemos por nuestro país",0,0.014,0.02,0.038,0,0,0.07,0,0.02,0
"P09_imputada","Otro",0.037,0.057,0.04,0.014,0.121,0.047,0.047,0.211,0.192,0.22
"P09_imputada","En blanco",0.027,0.051,0.049,0.024,0,0.016,0.09,0,0.068,0
"P19_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente , Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.295,0.261,0.123,0.245,0.429,0.383,0.127,0.07,0.268,0.512
"P19_imputada","Juan Grabois Presidente, Paula Abal Medina Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.106,0.119,0.048,0.074,0.221,0.107,0.032,0.36,0.159,0
