"var","categoria","Mejor","Igual","Peor","No sabe"
"P08","Inflación",0.298,0.326,0.333,0.294
"P08","Desempleo",0.12,0.093,0.072,0.114
"P08","Corrupción",0.157,0.173,0.317,0.183
"P08","Inseguridad",0.13,0.109,0.108,0.13
"P08","Precio del dólar",0.047,0.045,0.032,0.075
"P08","Pobreza",0.079,0.111,0.063,0.076
"P08","Narcotráfico",0.033,0.013,0.021,0.054
"P08","Tarifas",0.031,0.015,0.008,0.012
"P08","Otro",0.086,0.085,0.032,0.031
"P08","No sabe",0.019,0.03,0.014,0.031
"P12","Sin deuda",0.363,0.372,0.266,0.321
"P12","Menos de 10%",0.154,0.194,0.145,0.131
"P12","Entre 10 y 20%",0.135,0.137,0.149,0.136
"P12","Entre 20 y 30%",0.106,0.092,0.096,0.099
"P12","Entre 30 y 40%",0.087,0.067,0.098,0.056
"P12","Mas del 40%",0.105,0.1,0.196,0.157
"P12","No sabe",0.05,0.038,0.05,0.1
"P13","Gran excedente habitual",0.025,0.004,0.008,0.007
"P13","Gran excedente excepcional",0.017,0.011,0.007,0.019
"P13","Pequeño excedente habitual",0.092,0.072,0.054,0.088
"P13","Pequeño excedente excepcional",0.082,0.083,0.051,0.019
"P13","Alcanza gastos familia",0.145,0.19,0.108,0.077
"P13","No alcanza gastos familia",0.142,0.134,0.164,0.131
"P13","Solo NBFamiliares",0.221,0.267,0.238,0.217
"P13","No alcanza NBFamiliares",0.247,0.222,0.355,0.384
"P13","No sabe",0.029,0.017,0.015,0.058
"P14","Muy buena",0.102,0.05,0.039,0.088
"P14","Buena",0.205,0.24,0.116,0.099
"P14","Ni buena ni mala",0.374,0.529,0.388,0.432
"P14","Mala",0.196,0.141,0.303,0.2
"P14","Muy mala",0.076,0.026,0.139,0.114
"P14","No sabe",0.047,0.014,0.015,0.067
"P15","Mejor",0.294,0.136,0.071,0.119
"P15","Igual",0.32,0.568,0.133,0.267
"P15","Peor",0.333,0.249,0.746,0.517
"P15","No sabe",0.053,0.047,0.05,0.097
"P16","Mejor",0.38,0.154,0.054,0.083
"P16","Igual",0.256,0.476,0.171,0.208
"P16","Peor",0.241,0.187,0.644,0.387
"P16","No sabe",0.123,0.183,0.131,0.322
"P17","Muy buena",0.078,0.036,0.082,0.021
"P17","Buena",0.145,0.191,0.032,0.01
"P17","Ni buena ni mala",0.436,0.364,0.051,0.137
"P17","Mala",0.109,0.262,0.273,0.64
"P17","Muy mala",0.204,0.113,0.549,0.119
"P17","No sabe",0.028,0.034,0.013,0.073
"P19","Mejor",0.514,0.142,0.027,0.071
"P19","Igual",0.169,0.536,0.108,0.202
"P19","Peor",0.173,0.158,0.781,0.316
"P19","No sabe",0.144,0.164,0.084,0.411
"P20","Muy buena",0.168,0.067,0.074,0.116
"P20","Buena",0.203,0.245,0.035,0.094
"P20","Ni buena ni mala",0.333,0.395,0.117,0.273
"P20","Mala",0.143,0.184,0.201,0.238
"P20","Muy mala",0.136,0.08,0.552,0.2
"P20","No sabe",0.017,0.029,0.021,0.079
"P22","Muy buena",0.173,0.061,0.024,0.025
"P22","Buena",0.167,0.216,0.024,0.043
"P22","Ni buena ni mala",0.348,0.39,0.105,0.259
"P22","Mala",0.114,0.204,0.24,0.287
"P22","Muy mala",0.163,0.09,0.578,0.256
"P22","No sabe",0.035,0.039,0.029,0.13
"P23","Muy buena",0.189,0.099,0.029,0.035
"P23","Buena",0.273,0.304,0.047,0.105
"P23","Ni buena ni mala",0.258,0.317,0.15,0.243
"P23","Mala",0.136,0.148,0.241,0.219
"P23","Muy mala",0.137,0.089,0.505,0.251
"P23","No sabe",0.007,0.043,0.028,0.147
"P24","Muy buena",0.117,0.045,0.017,0.021
"P24","Buena",0.192,0.195,0.032,0.089
"P24","Ni buena ni mala",0.293,0.4,0.09,0.211
"P24","Mala",0.19,0.177,0.217,0.324
"P24","Muy mala",0.17,0.136,0.623,0.274
"P24","No sabe",0.038,0.047,0.021,0.081
"P25","Frente de Todos y el peronismo",0.536,0.611,0.122,0.236
"P25","Cambiemos",0.085,0.088,0.294,0.154
"P25","Liberales",0.179,0.101,0.233,0.197
"P25","Izquierda",0.064,0.049,0.062,0.109
"P25","No sabe",0.136,0.151,0.289,0.304
