"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales","Izquierda","No sabe"
"P08","Inflación",0.41,0.317,0.325,0.309,0.278
"P08","Desempleo",0.095,0.067,0.071,0.076,0.078
"P08","Corrupción",0.115,0.364,0.368,0.251,0.287
"P08","Inseguridad",0.101,0.119,0.071,0.156,0.131
"P08","Precio del dólar",0.053,0.029,0.036,0.02,0.036
"P08","Pobreza",0.107,0.052,0.028,0.094,0.082
"P08","Narcotráfico",0.016,0.016,0.027,0.012,0.027
"P08","Tarifas",0.015,0.009,0.011,0.011,0.011
"P08","Otro",0.073,0.022,0.047,0.046,0.04
"P08","No sabe",0.015,0.005,0.016,0.025,0.03
"P12","Sin deuda",0.338,0.315,0.28,0.259,0.25
"P12","Menos de 10%",0.196,0.183,0.129,0.108,0.133
"P12","Entre 10 y 20%",0.148,0.143,0.143,0.178,0.143
"P12","Entre 20 y 30%",0.103,0.094,0.083,0.112,0.093
"P12","Entre 30 y 40%",0.076,0.083,0.109,0.065,0.094
"P12","Mas del 40%",0.103,0.155,0.221,0.207,0.198
"P12","No sabe",0.036,0.027,0.035,0.071,0.089
"P13","Gran excedente habitual",0.006,0.009,0.018,0.001,0.004
"P13","Gran excedente excepcional",0.006,0.005,0.012,0.029,0.011
"P13","Pequeño excedente habitual",0.092,0.051,0.063,0.059,0.054
"P13","Pequeño excedente excepcional",0.066,0.058,0.069,0.066,0.036
"P13","Alcanza gastos familia",0.167,0.131,0.117,0.071,0.092
"P13","No alcanza gastos familia",0.138,0.174,0.15,0.146,0.195
"P13","Solo NBFamiliares",0.246,0.277,0.257,0.236,0.208
"P13","No alcanza NBFamiliares",0.271,0.288,0.293,0.389,0.364
"P13","No sabe",0.008,0.007,0.021,0.003,0.036
"P14","Muy buena",0.057,0.056,0.033,0.089,0.04
"P14","Buena",0.219,0.138,0.124,0.127,0.097
"P14","Ni buena ni mala",0.463,0.442,0.396,0.299,0.407
"P14","Mala",0.19,0.257,0.28,0.34,0.286
"P14","Muy mala",0.063,0.09,0.141,0.108,0.149
"P14","No sabe",0.008,0.017,0.026,0.037,0.021
"P15","Mejor",0.148,0.068,0.074,0.117,0.094
"P15","Igual",0.468,0.125,0.154,0.202,0.146
"P15","Peor",0.34,0.771,0.724,0.586,0.685
"P15","No sabe",0.044,0.036,0.048,0.095,0.075
"P16","Mejor",0.189,0.059,0.076,0.1,0.055
"P16","Igual",0.39,0.174,0.167,0.232,0.202
"P16","Peor",0.258,0.654,0.658,0.469,0.569
"P16","No sabe",0.163,0.113,0.099,0.199,0.174
"P17","Muy buena",0.04,0.069,0.06,0.077,0.105
"P17","Buena",0.14,0.038,0.022,0.093,0.041
"P17","Ni buena ni mala",0.347,0.051,0.061,0.088,0.081
"P17","Mala",0.327,0.231,0.223,0.385,0.294
"P17","Muy mala",0.123,0.606,0.62,0.354,0.454
"P17","No sabe",0.023,0.005,0.014,0.003,0.025
"P18","Mejor",0.152,0.024,0.058,0.067,0.035
"P18","Igual",0.415,0.059,0.078,0.122,0.094
"P18","Peor",0.369,0.876,0.803,0.701,0.796
"P18","No sabe",0.064,0.041,0.061,0.11,0.075
"P19","Mejor",0.214,0.04,0.053,0.067,0.031
"P19","Igual",0.346,0.113,0.111,0.158,0.159
"P19","Peor",0.271,0.768,0.756,0.656,0.67
"P19","No sabe",0.169,0.079,0.08,0.119,0.14
"P20","Muy buena",0.08,0.067,0.092,0.144,0.075
"P20","Buena",0.25,0.02,0.03,0.07,0.042
"P20","Ni buena ni mala",0.42,0.068,0.082,0.168,0.159
"P20","Mala",0.187,0.17,0.128,0.305,0.235
"P20","Muy mala",0.047,0.665,0.661,0.294,0.433
"P20","No sabe",0.016,0.01,0.007,0.019,0.056
"P22","Muy buena",0.076,0.025,0.021,0.085,0.018
"P22","Buena",0.23,0.016,0.013,0.019,0.018
"P22","Ni buena ni mala",0.403,0.063,0.081,0.175,0.148
"P22","Mala",0.217,0.192,0.171,0.377,0.273
"P22","Muy mala",0.041,0.692,0.7,0.308,0.471
"P22","No sabe",0.033,0.012,0.014,0.036,0.072
"P23","Muy buena",0.144,0.019,0.01,0.079,0.021
"P23","Buena",0.351,0.021,0.033,0.057,0.033
"P23","Ni buena ni mala",0.323,0.106,0.123,0.219,0.196
"P23","Mala",0.11,0.255,0.206,0.366,0.253
"P23","Muy mala",0.036,0.577,0.615,0.271,0.425
"P23","No sabe",0.036,0.022,0.013,0.008,0.072
"P24","Muy buena",0.058,0.018,0.015,0.055,0.014
"P24","Buena",0.229,0.03,0.018,0.042,0.022
"P24","Ni buena ni mala",0.361,0.055,0.129,0.111,0.115
