"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P08","Inflación",0.321,0.356,0.338,0.356,0.341,0.359
"P08","Desempleo",0.068,0.087,0.089,0.068,0.069,0.055
"P08","Corrupción",0.304,0.316,0.282,0.307,0.261,0.241
"P08","Inseguridad",0.112,0.114,0.118,0.103,0.109,0.046
"P08","Precio del dólar",0.072,0.031,0.029,0.025,0.031,0.07
"P08","Pobreza",0.035,0.058,0.073,0.063,0.072,0.138
"P08","Narcotráfico",0.006,0.003,0.021,0.015,0.02,0.007
"P08","Tarifas",0.009,0,0.001,0.012,0.01,0
"P08","Otro",0.073,0.03,0.041,0.034,0.075,0.018
"P08","No sabe",0,0.005,0.008,0.017,0.012,0.066
"P12","Sin deuda",0.304,0.377,0.29,0.307,0.289,0.188
"P12","Menos de 10%",0.174,0.156,0.189,0.151,0.141,0.065
"P12","Entre 10 y 20%",0.069,0.146,0.171,0.15,0.115,0.18
"P12","Entre 20 y 30%",0.113,0.105,0.084,0.099,0.083,0.082
"P12","Entre 30 y 40%",0.076,0.068,0.058,0.11,0.091,0.13
"P12","Mas del 40%",0.15,0.132,0.163,0.142,0.237,0.15
"P12","No sabe",0.114,0.016,0.045,0.041,0.044,0.205
"P13","Gran excedente habitual",0.024,0.007,0.006,0.002,0.011,0.036
"P13","Gran excedente excepcional",0.027,0.003,0.009,0.012,0.011,0
"P13","Pequeño excedente habitual",0.031,0.06,0.065,0.054,0.103,0.021
"P13","Pequeño excedente excepcional",0.053,0.053,0.053,0.066,0.074,0.011
"P13","Alcanza gastos familia",0.08,0.157,0.129,0.128,0.132,0.019
"P13","No alcanza gastos familia",0.106,0.165,0.149,0.168,0.139,0.186
"P13","Solo NBFamiliares",0.259,0.28,0.264,0.273,0.221,0.189
"P13","No alcanza NBFamiliares",0.385,0.266,0.307,0.288,0.293,0.464
"P13","No sabe",0.035,0.009,0.018,0.009,0.016,0.074
"P14","Muy buena",0.15,0.043,0.053,0.048,0.049,0.005
"P14","Buena",0.14,0.125,0.172,0.13,0.171,0.139
"P14","Ni buena ni mala",0.333,0.506,0.431,0.445,0.366,0.345
"P14","Mala",0.19,0.225,0.253,0.3,0.236,0.266
"P14","Muy mala",0.174,0.092,0.083,0.062,0.154,0.209
"P14","No sabe",0.013,0.009,0.008,0.015,0.024,0.036
"P15","Mejor",0.074,0.108,0.084,0.106,0.116,0.078
"P15","Igual",0.211,0.157,0.205,0.215,0.259,0.239
"P15","Peor",0.701,0.709,0.65,0.609,0.571,0.555
"P15","No sabe",0.014,0.026,0.061,0.07,0.054,0.128
"P16","Mejor",0.156,0.083,0.067,0.086,0.11,0.154
