"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.22,0.197,0.243,0.21,0.223,0.242,0.201,0.269,0.204,0.189,0.462,0.061,0.081,0.17,0.21,0.276,0.26,6
"Buena",0.084,0.079,0.089,0.108,0.08,0.083,0.059,0.103,0.078,0.07,0.154,0.03,0.047,0.079,0.071,0.097,0.092,6
"Ni buena ni mala",0.108,0.103,0.111,0.136,0.116,0.07,0.095,0.118,0.111,0.09,0.127,0.053,0.138,0.094,0.169,0.086,0.094,6
"Mala",0.106,0.097,0.113,0.086,0.106,0.105,0.135,0.122,0.107,0.084,0.077,0.111,0.183,0.097,0.137,0.102,0.099,6
"Muy mala",0.464,0.51,0.421,0.434,0.462,0.484,0.488,0.358,0.483,0.561,0.169,0.736,0.508,0.537,0.397,0.417,0.44,6
"No sabe",0.018,0.014,0.023,0.026,0.013,0.016,0.022,0.03,0.017,0.006,0.011,0.009,0.043,0.023,0.016,0.022,0.015,6
"Positiva",0.304,0.276,0.332,0.318,0.303,0.325,0.26,0.372,0.282,0.259,0.616,0.091,0.128,0.249,0.281,0.373,0.352,4
"Neutra",0.108,0.103,0.111,0.136,0.116,0.07,0.095,0.118,0.111,0.09,0.127,0.053,0.138,0.094,0.169,0.086,0.094,4
"Negativa",0.57,0.607,0.534,0.52,0.568,0.589,0.623,0.48,0.59,0.645,0.246,0.847,0.691,0.634,0.534,0.519,0.539,4
"No sabe",0.018,0.014,0.023,0.026,0.013,0.016,0.022,0.03,0.017,0.006,0.011,0.009,0.043,0.023,0.016,0.022,0.015,4
"Positiva",0.358,0.329,0.385,0.394,0.359,0.357,0.302,0.423,0.341,0.307,0.695,0.109,0.176,0.287,0.381,0.413,0.399,2
"Negativa",0.624,0.657,0.592,0.58,0.628,0.627,0.676,0.546,0.642,0.687,0.294,0.882,0.781,0.69,0.603,0.565,0.586,2
"No sabe",0.018,0.014,0.023,0.026,0.013,0.016,0.022,0.031,0.017,0.006,0.011,0.009,0.043,0.023,0.016,0.022,0.015,2
