"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei"
"Victoria Villarruel","Positiva",0.442,0.496,0.392,0.457,0.401,0.465,0.483,0.407,0.475,0.435,0.177,0.725,0.416,0.46,0.49,0.53,0.398,0.11,0.671
"Victoria Villarruel","Neutra",0.174,0.147,0.199,0.161,0.194,0.163,0.161,0.24,0.191,0.092,0.16,0.137,0.317,0.156,0.229,0.123,0.174,0.186,0.148
"Victoria Villarruel","Negativa",0.354,0.339,0.368,0.355,0.374,0.345,0.319,0.304,0.311,0.452,0.62,0.121,0.247,0.353,0.237,0.309,0.405,0.66,0.171
"Victoria Villarruel","No sabe",0.03,0.018,0.041,0.027,0.031,0.027,0.037,0.049,0.023,0.021,0.043,0.017,0.02,0.031,0.044,0.038,0.023,0.044,0.01
"Javier Milei","Positiva",0.462,0.513,0.412,0.489,0.426,0.481,0.48,0.435,0.498,0.442,0.176,0.773,0.379,0.485,0.495,0.5,0.425,0.074,0.669
"Javier Milei","Neutra",0.126,0.114,0.137,0.106,0.13,0.132,0.137,0.19,0.113,0.081,0.116,0.109,0.209,0.117,0.134,0.129,0.129,0.122,0.141
"Javier Milei","Negativa",0.405,0.369,0.442,0.401,0.437,0.382,0.371,0.367,0.382,0.472,0.701,0.114,0.408,0.391,0.359,0.367,0.441,0.796,0.187
"Javier Milei","No sabe",0.007,0.004,0.009,0.004,0.007,0.005,0.012,0.008,0.007,0.005,0.007,0.004,0.004,0.007,0.012,0.004,0.005,0.008,0.003
"Juan Schiaretti","Positiva",0.289,0.333,0.247,0.328,0.279,0.272,0.28,0.319,0.276,0.278,0.162,0.376,0.46,0.346,0.318,0.263,0.234,0.149,0.321
"Juan Schiaretti","Neutra",0.398,0.368,0.427,0.383,0.38,0.426,0.42,0.375,0.441,0.366,0.386,0.426,0.313,0.368,0.403,0.427,0.417,0.366,0.457
"Juan Schiaretti","Negativa",0.267,0.27,0.263,0.252,0.295,0.247,0.252,0.228,0.242,0.332,0.401,0.16,0.183,0.26,0.21,0.259,0.295,0.426,0.204
"Juan Schiaretti","No sabe",0.046,0.029,0.063,0.037,0.046,0.055,0.048,0.078,0.041,0.024,0.051,0.038,0.044,0.026,0.069,0.051,0.054,0.059,0.018
"Patricia Bullrich","Positiva",0.44,0.475,0.404,0.367,0.415,0.5,0.518,0.43,0.45,0.433,0.156,0.764,0.415,0.474,0.438,0.448,0.409,0.089,0.745
