"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.054,0.069,0.039,0.084,0.052,0.029,0.052,0.072,0.056,0.034,0.043,0.049,0.104,0.061,0.052,0.074,0.046,0.046,0.037,6
"Buena",0.084,0.103,0.067,0.094,0.071,0.081,0.106,0.092,0.098,0.059,0.035,0.143,0.1,0.08,0.107,0.073,0.08,0.032,0.097,6
"Ni buena ni mala",0.222,0.226,0.219,0.21,0.205,0.242,0.253,0.295,0.236,0.134,0.143,0.275,0.321,0.215,0.279,0.231,0.204,0.133,0.279,6
"Mala",0.361,0.353,0.367,0.324,0.363,0.372,0.391,0.361,0.359,0.362,0.392,0.346,0.279,0.356,0.36,0.37,0.363,0.373,0.375,6
"Muy mala",0.264,0.239,0.289,0.282,0.296,0.257,0.172,0.153,0.243,0.4,0.375,0.168,0.182,0.268,0.191,0.246,0.294,0.4,0.195,6
"No sabe",0.015,0.01,0.019,0.006,0.013,0.019,0.026,0.027,0.008,0.011,0.012,0.019,0.014,0.02,0.011,0.006,0.013,0.016,0.017,6
"Positiva",0.138,0.172,0.106,0.178,0.123,0.11,0.158,0.164,0.154,0.093,0.078,0.192,0.204,0.141,0.159,0.147,0.126,0.078,0.134,4
"Neutra",0.222,0.226,0.219,0.21,0.205,0.242,0.253,0.295,0.236,0.134,0.143,0.275,0.321,0.215,0.279,0.231,0.204,0.133,0.279,4
"Negativa",0.625,0.592,0.656,0.606,0.659,0.629,0.563,0.514,0.602,0.762,0.767,0.514,0.461,0.624,0.551,0.616,0.657,0.773,0.57,4
"No sabe",0.015,0.01,0.019,0.006,0.013,0.019,0.026,0.027,0.008,0.011,0.012,0.019,0.014,0.02,0.011,0.006,0.013,0.016,0.017,4
