"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.807,0.213,0.112,0.294,0.076,0.2,0.272,0.325
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.083,0.642,0.131,0.088,0.05,0.079,0.055,0.119
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.078,0.103,0.698,0.257,0.169,0.338,0.155,0.168
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.007,0.014,0.02,0.24,0.014,0.023,0.106,0.001
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.017,0.024,0.074,0.668,0.083,0.081,0.077
"P13","En blanco",0.003,0.005,0.002,0,0.023,0.241,0.127,0.053
"P13","No sabe",0.008,0.006,0.013,0.047,0,0.036,0.204,0.257
"P26","Totalmente seguro",0.748,0.728,0.786,0.561,0.567,0.57,0.58,0.4
"P26","Bastante seguro",0.15,0.132,0.088,0.151,0.141,0.177,0.14,0.07
"P26","Algo seguro",0.088,0.08,0.087,0.146,0.137,0.07,0.041,0.193
"P26","Para nada seguro",0.014,0.06,0.039,0.142,0.155,0.183,0.239,0.337
"P27","Tiene Decidido que va a ir a votar",0.936,0.926,0.944,0.853,0.849,0.767,0.465,0.781
"P27","Tiene dudas sobre si va a ir a  votar",0.037,0.047,0.043,0.058,0.058,0.155,0.375,0.136
"P27","Tiene Decidido que no va a ir a votar",0.027,0.027,0.013,0.089,0.093,0.078,0.16,0.083
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.903,0.279,0.228,0.587,0.337,0.311,0.399,0.5
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.049,0.669,0.3,0.115,0.138,0.315,0.153,0.101
"P28","En blanco",0.027,0.03,0.27,0.187,0.269,0.126,0.199,0.044
"P28","No sabe",0.021,0.022,0.202,0.111,0.256,0.248,0.249,0.355
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.264,0.714,0.129,0.25,0.175,0.103,0.159,0.221
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.085,0.137,0.754,0.209,0.241,0.3,0.201,0.109
"P29","En blanco",0.44,0.079,0.073,0.355,0.256,0.198,0.376,0.169
"P29","No sabe",0.211,0.07,0.044,0.186,0.328,0.399,0.264,0.501
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.798,0.258,0.142,0.323,0.219,0.256,0.421,0.417
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.079,0.266,0.791,0.199,0.305,0.385,0.189,0.207
"P30","En blanco",0.072,0.29,0.035,0.281,0.249,0.083,0.306,0.169
"P30","No sabe",0.051,0.186,0.032,0.197,0.227,0.276,0.084,0.207
"P38","Inflación",0.41,0.329,0.346,0.337,0.469,0.164,0.171,0.429
"P38","Desempleo",0.129,0.046,0.067,0.14,0.092,0.101,0.183,0.079
"P38","Corrupción",0.151,0.414,0.419,0.321,0.278,0.451,0.268,0.251
"P38","Inseguridad",0.107,0.135,0.085,0.141,0.097,0.101,0.076,0.127
"P38","Precio del dólar",0.047,0.009,0.009,0,0.022,0,0.11,0.005
"P38","Pobreza",0.078,0.037,0.03,0.027,0,0.138,0.182,0.019
"P38","Narcotráfico",0.011,0.004,0.012,0,0,0.013,0.01,0
"P38","Tarifas",0.004,0.005,0.003,0,0,0,0,0.062
"P38","Otro",0.045,0.019,0.012,0.013,0.023,0.022,0,0.021
"P38","No sabe",0.018,0.002,0.017,0.021,0.019,0.01,0,0.007
