"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.809,0.182,0.14,0.147,0.084,0.232,0.362,0.218
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.088,0.704,0.116,0.129,0.085,0.064,0.047,0.081
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.067,0.072,0.674,0.123,0.347,0.108,0.03,0.247
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.008,0.003,0.016,0.539,0,0.128,0,0
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.011,0.008,0.042,0.016,0.464,0.061,0.005,0.017
"P20","En blanco",0.006,0.015,0.005,0.005,0,0.185,0.262,0.008
"P20","No sabe",0.011,0.016,0.007,0.041,0.02,0.222,0.294,0.429
"P26","Totalmente seguro",0.83,0.755,0.795,0.55,0.548,0.36,0.314,0.178
"P26","Bastante seguro",0.069,0.119,0.083,0.157,0.186,0.068,0.09,0.204
"P26","Algo seguro",0.058,0.06,0.081,0.063,0.182,0.279,0.039,0.042
"P26","Para nada seguro",0.043,0.066,0.041,0.23,0.084,0.293,0.557,0.576
"P27","Tiene Decidido que va a ir a votar",0.94,0.935,0.91,0.922,0.812,0.759,0.679,0.763
"P27","Tiene dudas sobre si va a ir a  votar",0.05,0.051,0.07,0.03,0.053,0.213,0.168,0.158
"P27","Tiene Decidido que no va a ir a votar",0.01,0.014,0.02,0.048,0.135,0.028,0.153,0.079
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.878,0.17,0.138,0.226,0.167,0.2,0.398,0.184
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.066,0.77,0.347,0.205,0.499,0.23,0.013,0.138
"P28","En blanco",0.036,0.037,0.326,0.241,0.16,0.112,0.403,0.033
"P28","No sabe",0.02,0.023,0.189,0.328,0.174,0.458,0.186,0.645
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.198,0.76,0.161,0.244,0.417,0.259,0.3,0.123
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.081,0.12,0.742,0.214,0.277,0.101,0.014,0.193
"P29","En blanco",0.499,0.053,0.039,0.331,0.178,0.296,0.489,0.043
"P29","No sabe",0.222,0.067,0.058,0.211,0.128,0.344,0.197,0.641
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.879,0.237,0.131,0.436,0.365,0.289,0.315,0.264
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.05,0.268,0.802,0.195,0.293,0.19,0.091,0.281
"P30","En blanco",0.046,0.258,0.048,0.325,0.198,0.149,0.41,0.057
"P30","No sabe",0.025,0.237,0.019,0.044,0.144,0.372,0.184,0.398
"P38","Inflación",0.403,0.319,0.273,0.291,0.431,0.056,0.247,0.184
"P38","Desempleo",0.083,0.049,0.059,0.023,0.01,0.233,0.108,0.08
"P38","Corrupción",0.111,0.446,0.48,0.308,0.388,0.333,0.385,0.444
"P38","Inseguridad",0.144,0.117,0.095,0.15,0.087,0.191,0.1,0.084
"P38","Precio del dólar",0.054,0.012,0.018,0.043,0,0.176,0.103,0.039
"P38","Pobreza",0.077,0.024,0.016,0.106,0.084,0,0.057,0.086
"P38","Narcotráfico",0.028,0.001,0.004,0.027,0,0,0,0.049
"P38","Tarifas",0.009,0.004,0.002,0,0,0,0,0
"P38","Otro",0.069,0.025,0.043,0.052,0,0,0,0.034
"P38","No sabe",0.022,0.003,0.01,0,0,0.011,0,0
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.767,0.154,0.135,0.101,0.057,0.163,0.165,0.147
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.104,0.693,0.134,0.169,0.115,0.06,0.063,0.095
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.072,0.085,0.639,0.067,0.146,0.057,0.033,0.142
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.01,0.009,0.019,0.598,0.045,0.137,0.007,0
"GOBERNADOR","En blanco",0.036,0.043,0.065,0.023,0.613,0.34,0.399,0.111
"GOBERNADOR","No sabe",0.011,0.016,0.008,0.042,0.024,0.243,0.333,0.505
"CORTA_GOBERNADOR","Si",0.147,0.213,0.263,0.162,0.308,0.163,0.233,0.3
"CORTA_GOBERNADOR","No",0.853,0.787,0.737,0.838,0.692,0.837,0.767,0.7
