"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.247,0.121,0.796,0.546
"P10","Juntos por el Cambio",0.578,0.147,0.059,0.096
"P10","De los liberales libertarios",0.103,0.648,0.033,0.089
"P10","De la Izquierda",0.026,0.026,0.047,0.041
"P10","Hacemos por nuestro país",0.02,0.017,0.009,0.018
"P10","Otro",0.011,0.01,0.02,0.057
"P10","En blanco",0.005,0.001,0.027,0.025
"P10","No sabe",0.01,0.03,0.009,0.128
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.281,0.117,0.837,0.671
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.588,0.155,0.032,0.045
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.064,0.66,0.032,0.056
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.023,0.025,0.045,0.027
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.019,0.022,0.016,0.044
"P20","En blanco",0.003,0.014,0.025,0.013
"P20","No sabe",0.022,0.007,0.013,0.144
"P26","Totalmente seguro",0.734,0.773,0.847,0.591
"P26","Bastante seguro",0.108,0.097,0.057,0.136
"P26","Algo seguro",0.084,0.064,0.042,0.064
"P26","Para nada seguro",0.074,0.066,0.054,0.209
"P27","Tiene Decidido que va a ir a votar",0.928,0.876,0.967,0.847
"P27","Tiene dudas sobre si va a ir a  votar",0.051,0.102,0.024,0.136
"P27","Tiene Decidido que no va a ir a votar",0.021,0.022,0.009,0.017
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.347,0.081,0.859,0.669
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.604,0.476,0.008,0.05
"P28","En blanco",0.023,0.289,0.111,0.024
"P28","No sabe",0.026,0.154,0.022,0.257
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.442,0.083,0.815,0.677
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.184,0.812,0.028,0.088
"P30","En blanco",0.205,0.057,0.149,0.036
"P30","No sabe",0.169,0.048,0.008,0.199
"P38","Inflación",0.305,0.357,0.412,0.331
"P38","Desempleo",0.06,0.047,0.078,0.113
"P38","Corrupción",0.394,0.415,0.136,0.17
"P38","Inseguridad",0.113,0.121,0.132,0.191
"P38","Precio del dólar",0.027,0.034,0.044,0.028
"P38","Pobreza",0.049,0.003,0.08,0.046
"P38","Narcotráfico",0.005,0.003,0.027,0.015
"P38","Tarifas",0.001,0.004,0.004,0.008
"P38","Otro",0.035,0.015,0.082,0.048
"P38","No sabe",0.011,0.001,0.005,0.05
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.229,0.132,0.781,0.621
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.569,0.192,0.059,0.078
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.117,0.585,0.032,0.042
