"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.349,0.342,0.355,0.344,0.377,0.338,0.305,0.329,0.359,0.357,0.419,0.301,0.143,0.35,0.347,0.407,0.388,0.254,0.385,0.367
"Desempleo",0.07,0.059,0.08,0.045,0.087,0.074,0.062,0.077,0.083,0.04,0.083,0.044,0.157,0.062,0.087,0.095,0.126,0.029,0.052,0.042
"Corrupción",0.297,0.314,0.281,0.296,0.274,0.287,0.361,0.253,0.333,0.291,0.143,0.468,0.353,0.282,0.324,0.143,0.159,0.509,0.357,0.444
"Inseguridad",0.132,0.151,0.116,0.117,0.133,0.144,0.136,0.194,0.107,0.097,0.164,0.093,0.202,0.142,0.113,0.147,0.159,0.14,0.057,0.092
"Precio del dólar",0.033,0.027,0.039,0.044,0.021,0.038,0.039,0.027,0.039,0.031,0.042,0.028,0.011,0.04,0.019,0.041,0.03,0.016,0.064,0.008
"Pobreza",0.045,0.039,0.051,0.052,0.061,0.031,0.022,0.034,0.024,0.095,0.064,0.02,0.024,0.039,0.057,0.069,0.078,0.016,0.031,0.009
"Narcotráfico",0.012,0.005,0.018,0.004,0.002,0.014,0.043,0.026,0.004,0.009,0.017,0.003,0.04,0.014,0.008,0.018,0.02,0.001,0.018,0
"Tarifas",0.004,0.004,0.003,0,0.002,0.01,0.004,0.004,0.003,0.004,0.005,0.004,0,0.005,0.002,0.006,0.004,0.005,0,0.001
"Otro",0.044,0.037,0.051,0.074,0.031,0.052,0.022,0.025,0.044,0.069,0.05,0.026,0.07,0.05,0.033,0.062,0.035,0.029,0.036,0.018
"No sabe",0.014,0.022,0.006,0.024,0.012,0.012,0.006,0.031,0.004,0.007,0.013,0.013,0,0.016,0.01,0.012,0.001,0.001,0,0.019
