"var","categoria","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Gobernador y vicegobernador de la izquierda","En blanco","No sabe"
"P10","Unión por la Patria",0.788,0.15,0.134,0.143,0.191,0.112
"P10","Juntos por el Cambio",0.08,0.72,0.142,0.062,0.147,0.083
"P10","De los liberales libertarios",0.079,0.106,0.673,0.117,0.2,0.038
"P10","De la Izquierda",0.011,0.004,0.011,0.544,0.01,0.066
"P10","Hacemos por nuestro país",0.004,0.007,0.006,0.027,0.171,0.003
"P10","Otro",0.01,0.006,0.008,0.103,0.096,0.172
"P10","En blanco",0.01,0.002,0.004,0.004,0.122,0.072
"P10","No sabe",0.018,0.005,0.022,0,0.063,0.454
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.928,0.106,0.11,0.065,0.162,0
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.034,0.813,0.087,0.057,0.096,0
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.038,0.081,0.803,0.046,0.105,0
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0,0,0,0.832,0,0
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0,0,0,0,0.374,0
"P20","En blanco",0,0,0,0,0.263,0
"P20","No sabe",0,0,0,0,0,1
"P26","Totalmente seguro",0.824,0.766,0.809,0.507,0.519,0.09
"P26","Bastante seguro",0.081,0.121,0.059,0.078,0.175,0.166
"P26","Algo seguro",0.052,0.069,0.085,0.162,0.096,0.062
"P26","Para nada seguro",0.043,0.044,0.047,0.253,0.21,0.682
"P27","Tiene Decidido que va a ir a votar",0.958,0.925,0.949,0.896,0.784,0.648
"P27","Tiene dudas sobre si va a ir a  votar",0.036,0.061,0.031,0.054,0.148,0.289
"P27","Tiene Decidido que no va a ir a votar",0.006,0.014,0.02,0.05,0.068,0.063
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.883,0.184,0.181,0.254,0.294,0.123
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.056,0.743,0.392,0.239,0.319,0.178
"P28","En blanco",0.035,0.031,0.282,0.208,0.163,0.102
"P28","No sabe",0.026,0.042,0.145,0.299,0.224,0.597
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.214,0.744,0.208,0.242,0.252,0.165
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.075,0.157,0.698,0.178,0.246,0.066
"P29","En blanco",0.487,0.053,0.047,0.385,0.229,0.095
"P29","No sabe",0.224,0.046,0.047,0.195,0.273,0.674
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.887,0.218,0.161,0.405,0.324,0.093
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.056,0.316,0.722,0.225,0.299,0.195
"P30","En blanco",0.044,0.272,0.066,0.271,0.169,0.075
"P30","No sabe",0.013,0.194,0.051,0.099,0.208,0.637
"P38","Inflación",0.424,0.325,0.305,0.252,0.257,0.223
"P38","Desempleo",0.079,0.065,0.077,0.117,0.059,0.194
"P38","Corrupción",0.11,0.421,0.419,0.333,0.398,0.287
"P38","Inseguridad",0.146,0.111,0.149,0.062,0.129,0.219
"P38","Precio del dólar",0.065,0.009,0.003,0.005,0.086,0.009
"P38","Pobreza",0.073,0.019,0.023,0.048,0.04,0.005
"P38","Narcotráfico",0.021,0.002,0,0.013,0.019,0.037
"P38","Tarifas",0.005,0.004,0,0,0,0
"P38","Otro",0.061,0.031,0.023,0.17,0,0.026
"P38","No sabe",0.016,0.013,0.001,0,0.012,0
"CORTA_GOBERNADOR","Si",0.072,0.187,0.197,0.168,0.363,0
"CORTA_GOBERNADOR","No",0.928,0.813,0.803,0.832,0.637,1
