"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.819,0.74,0.778,0.543,0.5,0.417,0.421
"P26","Bastante seguro",0.078,0.108,0.083,0.114,0.203,0.063,0.073
"P26","Algo seguro",0.056,0.068,0.079,0.037,0.174,0.269,0.06
"P26","Para nada seguro",0.047,0.084,0.06,0.306,0.123,0.251,0.446
"P27","Tiene Decidido que va a ir a votar",0.947,0.925,0.899,0.869,0.941,0.948,0.541
"P27","Tiene dudas sobre si va a ir a  votar",0.038,0.053,0.089,0.104,0.034,0.003,0.352
"P27","Tiene Decidido que no va a ir a votar",0.015,0.022,0.012,0.027,0.025,0.049,0.107
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.897,0.194,0.18,0.457,0.299,0.199,0.261
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.049,0.744,0.362,0.139,0.29,0.241,0.066
"P28","En blanco",0.022,0.026,0.241,0.149,0.132,0.096,0.515
"P28","No sabe",0.032,0.036,0.217,0.255,0.279,0.464,0.158
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.216,0.771,0.152,0.289,0.415,0.167,0.082
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.068,0.12,0.719,0.167,0.155,0.239,0
"P29","En blanco",0.479,0.045,0.043,0.279,0.208,0.238,0.617
"P29","No sabe",0.237,0.064,0.086,0.265,0.222,0.356,0.301
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.874,0.207,0.155,0.387,0.312,0.251,0.274
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.297,0.767,0.196,0.304,0.373,0
"P30","En blanco",0.045,0.273,0.043,0.164,0.203,0.168,0.556
"P30","No sabe",0.027,0.223,0.035,0.253,0.181,0.208,0.17
"P38","Inflación",0.407,0.315,0.34,0.354,0.225,0.178,0.093
"P38","Desempleo",0.098,0.084,0.042,0.109,0.033,0.074,0.142
"P38","Corrupción",0.106,0.406,0.39,0.332,0.522,0.523,0.386
"P38","Inseguridad",0.163,0.129,0.141,0.041,0.109,0.133,0.258
"P38","Precio del dólar",0.057,0.008,0.02,0.003,0,0.047,0
"P38","Pobreza",0.077,0.024,0.023,0.055,0.078,0.008,0.121
"P38","Narcotráfico",0.013,0.006,0.009,0.011,0.019,0,0
"P38","Tarifas",0.005,0.003,0.001,0,0,0,0
"P38","Otro",0.054,0.023,0.02,0.078,0.014,0.022,0
"P38","No sabe",0.02,0.002,0.014,0.017,0,0.015,0
