"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.838,0.186,0.145,0.277,0.187,0.058,0.174,0.356
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.052,0.698,0.144,0.061,0.07,0.108,0.078,0.079
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.076,0.084,0.664,0.232,0.116,0.257,0.137,0.193
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.01,0.005,0.02,0.327,0,0.152,0.101,0
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.007,0.012,0.013,0.026,0.619,0.095,0.044,0.01
"P20","En blanco",0.006,0.006,0.002,0,0,0.184,0.281,0.036
"P20","No sabe",0.011,0.009,0.012,0.077,0.008,0.146,0.185,0.326
"P26","Totalmente seguro",0.825,0.764,0.799,0.555,0.501,0.42,0.388,0.311
"P26","Bastante seguro",0.09,0.104,0.087,0.106,0.154,0.063,0.039,0.058
"P26","Algo seguro",0.055,0.068,0.073,0.104,0.149,0.255,0.057,0.176
"P26","Para nada seguro",0.03,0.064,0.041,0.235,0.196,0.262,0.516,0.455
"P27","Tiene Decidido que va a ir a votar",0.94,0.947,0.916,0.861,0.854,0.878,0.504,0.802
"P27","Tiene dudas sobre si va a ir a  votar",0.044,0.042,0.077,0.06,0.03,0.036,0.403,0.187
"P27","Tiene Decidido que no va a ir a votar",0.016,0.011,0.007,0.079,0.116,0.086,0.093,0.011
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.904,0.213,0.19,0.47,0.213,0.137,0.17,0.4
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.05,0.74,0.353,0.146,0.28,0.324,0.058,0.054
"P28","En blanco",0.029,0.027,0.267,0.181,0.215,0.162,0.591,0.017
"P28","No sabe",0.017,0.02,0.19,0.203,0.292,0.377,0.181,0.529
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.211,0.79,0.152,0.278,0.349,0.222,0.071,0.078
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.072,0.119,0.734,0.216,0.157,0.249,0.087,0.209
"P29","En blanco",0.482,0.049,0.05,0.303,0.252,0.108,0.549,0.054
"P29","No sabe",0.235,0.042,0.064,0.203,0.242,0.421,0.293,0.659
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.853,0.218,0.168,0.396,0.22,0.098,0.226,0.389
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.067,0.296,0.773,0.209,0.319,0.383,0.103,0.206
"P30","En blanco",0.049,0.276,0.04,0.186,0.314,0.207,0.436,0.018
"P30","No sabe",0.031,0.21,0.019,0.209,0.147,0.312,0.235,0.387
"P38","Inflación",0.432,0.293,0.348,0.402,0.22,0.161,0.085,0.342
"P38","Desempleo",0.103,0.071,0.045,0.097,0.041,0.084,0.027,0.124
"P38","Corrupción",0.106,0.429,0.399,0.295,0.439,0.437,0.464,0.246
"P38","Inseguridad",0.145,0.143,0.119,0.054,0.168,0.124,0.291,0.137
"P38","Precio del dólar",0.062,0.008,0.024,0.003,0,0.033,0,0.011
"P38","Pobreza",0.076,0.027,0.025,0.069,0.091,0.065,0.106,0.027
"P38","Narcotráfico",0.01,0.002,0.009,0.01,0.024,0.023,0.027,0.031
"P38","Tarifas",0.004,0.005,0.001,0,0,0,0,0
"P38","Otro",0.053,0.02,0.024,0.05,0.017,0.059,0,0.021
"P38","No sabe",0.009,0.002,0.006,0.02,0,0.014,0,0.061
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.8,0.126,0.144,0.216,0.052,0.057,0.189,0.279
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.081,0.702,0.138,0.058,0.05,0.103,0.006,0.099
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.067,0.105,0.635,0.167,0.13,0.124,0.109,0.096
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.013,0.017,0.029,0.404,0.033,0.176,0.126,0
"GOBERNADOR","En blanco",0.028,0.04,0.041,0.073,0.726,0.374,0.365,0.168
"GOBERNADOR","No sabe",0.011,0.01,0.013,0.082,0.009,0.166,0.205,0.358
"CORTA_GOBERNADOR","Si",0.132,0.227,0.28,0.25,0.269,0.237,0.16,0.32
"CORTA_GOBERNADOR","No",0.868,0.773,0.72,0.75,0.731,0.763,0.84,0.68
