"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco"
"P26","Totalmente seguro",0.801,0.74,0.781,0.507,0.466,0.379
"P26","Bastante seguro",0.086,0.112,0.068,0.102,0.179,0.175
"P26","Algo seguro",0.056,0.063,0.089,0.154,0.143,0.114
"P26","Para nada seguro",0.057,0.085,0.062,0.237,0.212,0.332
"P27","Tiene Decidido que va a ir a votar",0.933,0.914,0.952,0.824,0.831,0.806
"P27","Tiene dudas sobre si va a ir a  votar",0.057,0.062,0.041,0.1,0.126,0.067
"P27","Tiene Decidido que no va a ir a votar",0.01,0.024,0.007,0.076,0.043,0.127
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.894,0.151,0.185,0.321,0.295,0.132
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.056,0.762,0.325,0.221,0.271,0.079
"P28","En blanco",0.016,0.031,0.288,0.155,0.183,0.583
"P28","No sabe",0.034,0.056,0.202,0.303,0.251,0.206
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.244,0.774,0.122,0.171,0.197,0.042
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.063,0.131,0.747,0.209,0.177,0.218
"P29","En blanco",0.437,0.042,0.068,0.305,0.235,0.504
"P29","No sabe",0.256,0.053,0.063,0.315,0.391,0.236
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.87,0.171,0.119,0.339,0.31,0.102
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.043,0.329,0.806,0.177,0.242,0.235
"P30","En blanco",0.046,0.277,0.029,0.275,0.208,0.468
"P30","No sabe",0.041,0.223,0.046,0.209,0.24,0.195
"P38","Inflación",0.451,0.284,0.345,0.179,0.195,0.144
"P38","Desempleo",0.086,0.066,0.058,0.138,0.077,0.046
"P38","Corrupción",0.11,0.447,0.406,0.397,0.392,0.378
"P38","Inseguridad",0.148,0.124,0.146,0.032,0.122,0.191
"P38","Precio del dólar",0.059,0.007,0.006,0.029,0.115,0.104
"P38","Pobreza",0.076,0.026,0.02,0.069,0.085,0.094
"P38","Narcotráfico",0.01,0.015,0.001,0.024,0,0
"P38","Tarifas",0.003,0.005,0,0,0,0
"P38","Otro",0.046,0.025,0.013,0.128,0.008,0.043
"P38","No sabe",0.011,0.001,0.005,0.004,0.006,0
