"var","categoria","Si","No","No sabe"
"P10","Siempre",0.165,0.228,0.161
"P10","Casi siempre",0.303,0.298,0.298
"P10","Casi nunca",0.354,0.324,0.241
"P10","Nunca, pero esta es una excepción",0.178,0.15,0.3
"P11","Si",0.287,0.388,0.312
"P11","No",0.541,0.408,0.36
"P11","No sabe",0.172,0.204,0.328
"P12","Javier Milei",0.375,0.517,0.444
"P12","Mauricio Macri",0.398,0.301,0.177
"P12","Ambos",0.163,0.104,0.137
"P12","No sabe",0.064,0.078,0.242
"P13","Si",0.38,0.503,0.385
"P13","No",0.552,0.43,0.463
"P13","No sabe",0.068,0.067,0.152
"P14","Florencio Randazzo",0.35,0.258,0.211
"P14","Cristian Ritondo",0.207,0.304,0.184
"P14","Algun diputado del bloque de Milei",0.19,0.203,0.19
"P14","No sabe",0.253,0.235,0.415
"P15","Si",0.469,0.52,0.411
"P15","No",0.473,0.413,0.453
"P15","No sabe",0.058,0.067,0.136
"P16","Si",0.683,0.454,0.398
"P16","No",0.243,0.422,0.181
"P16","No sabe",0.074,0.124,0.421
"P18","Los cargos públicos",0.478,0.412,0.364
"P18","El empleo público",0.124,0.236,0.096
"P18","Los planes sociales",0.134,0.18,0.266
"P18","Las tarifas de los servicios públicos",0.089,0.034,0.081
"P18","No sabe",0.175,0.138,0.193
"P19","Si",0.33,0.393,0.2
"P19","No",0.449,0.396,0.337
"P19","No sabe",0.221,0.211,0.463
"P20","Si",0.486,0.575,0.45
"P20","No",0.43,0.327,0.336
"P20","No sabe",0.084,0.098,0.214
"P21","Inflación",0.368,0.273,0.258
"P21","Desempleo",0.108,0.089,0.119
"P21","Corrupción",0.255,0.379,0.271
"P21","Inseguridad",0.133,0.135,0.101
"P21","Precio del dólar",0.019,0.013,0.009
"P21","Pobreza",0.06,0.034,0.073
"P21","Narcotráfico",0.011,0.017,0.006
"P21","Tarifas",0.008,0.011,0.005
"P21","Otro",0.033,0.039,0.098
"P21","No sabe",0.005,0.01,0.06
"P25","Sin deuda",0.328,0.367,0.306
"P25","Menos de 10%",0.191,0.197,0.076
"P25","Entre 10 y 20%",0.134,0.121,0.14
"P25","Entre 20 y 30%",0.081,0.122,0.072
"P25","Entre 30 y 40%",0.085,0.058,0.126
"P25","Mas del 40%",0.134,0.121,0.1
"P25","No sabe",0.047,0.014,0.18
"P26","Gran excedente habitual",0.002,0.02,0
"P26","Gran excedente excepcional",0.014,0.004,0.01
