"var","categoria","Si","No"
"P06","1 hijo",0.584,0.553
"P06","2 hijos",0.314,0.316
"P06","3 hijos",0.087,0.09
"P06","4 o más hijos",0.015,0.041
"P07","Con hijos de 3 años y menos",0.408,0.407
"P07","Con hijos mayores de 3 años",0.592,0.593
"P08","En un Centro de Salud",0.445,0.493
"P08","En un hospital",0.203,0.265
"P08","En un sanatorio",0.049,0.03
"P08","En un Consultorio Privado",0.056,0.023
"P08","En un vacunatorio",0.247,0.189
"P09","Si",0.966,0.975
"P09","No",0.034,0.025
"P10","Si, son efectivas",0.98,0.989
"P10","No, no son efectivas",0.02,0.011
"P11","Si",0.965,0.971
"P11","No",0.035,0.029
"P12","Si",0.163,0.154
"P12","No",0.837,0.846
"P13","La quíntuple",0.136,0.113
"P13","La triple viral (Sarampión, rubeola y paperas)",0.126,0.065
"P13","La Neumococo",0.047,0.098
"P13","La BCG",0.099,0.052
"P13","Otra",0.164,0.215
"P13","No recuerda",0.428,0.457
"P14","Si",0.944,0.936
"P14","No",0.056,0.064
"P15","Si, las conozco",0.925,0.812
"P15","No, no las conozco",0.019,0.073
"P15","Algunas",0.056,0.115
"P16","Si",0.83,0.687
"P16","A veces",0.129,0.249
"P16","No",0.041,0.064
"P17","Sí, hay suficiente información",0.237,0.204
"P17","No, no hay suficiente información",0.763,0.796
"P18","Si",0.084,0.082
"P18","Sí, pero es necesario",0.504,0.545
"P18","No",0.412,0.373
"P19","Sí, mucho",0.125,0.193
"P19","Si, un poco",0.686,0.705
"P19","No",0.189,0.102
"P20","Si",0.122,0.166
"P20","No",0.834,0.76
"P20","No recuerda",0.044,0.074
"P21","La quíntuple",0.289,0.2
"P21","La triple viral (Sarampión, rubeola y paperas)",0.152,0.197
"P21","La Neumococo",0.082,0.081
"P21","La BCG",0.026,0.074
"P21","Otra",0.09,0.077
"P21","No recuerda",0.361,0.371
"P22","Si",0.587,0.613
"P22","No",0.355,0.288
"P22","No recuerda",0.058,0.099
"P23","La quíntuple",0.27,0.197
"P23","La triple viral (Sarampión, rubeola y paperas)",0.141,0.158
"P23","La Neumococo",0.079,0.046
"P23","La BCG",0.071,0.089
"P23","Otra",0.081,0.051
"P23","No recuerda",0.358,0.459
"P24","Sí, una vez",0.111,0.116
"P24","Si varias veces",0.104,0.066
"P24","No",0.71,0.72
"P24","No recuerdo",0.075,0.098
"P25","Si",0.87,0.647
"P25","No",0.13,0.353
"P26","Si",0.787,0.44
"P26","No",0.213,0.56
"P27","Si, la Polio y la quíntuple",0.304,0.14
"P27","Si, la triple viral y la BCG",0.239,0.226
"P27","Otras",0.04,0.044
"P27","No recuerdo",0.417,0.59
"P28","Si",0.631,0.243
"P28","No",0.369,0.757
"P31","Si",0.951,0.914
"P31","No",0.049,0.086
"P32","Si",0.575,0.493
"P32","No",0.425,0.507
"P33","Miedo al contagio",0.347,0.413
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.313,0.334
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.238,0.196
"P33","Porque era costoso el viaje",0.102,0.057
"P34","Si, una dosis",0.488,0.538
"P34","Si, dos dosis",0.428,0.359
"P34","Ninguna",0.084,0.103
"P35","Sputnik V",0.343,0.276
"P35","Sinopharm",0.315,0.318
"P35","AstraZeneca",0.326,0.35
"P35","Johnson",0.004,0.002
"P35","Phizer",0.001,0.009
"P35","Moderna",0.003,0.012
"P35","Otra",0.008,0.033
