"var","categoria","Si","Sí, pero es necesario","No"
"P06","1 hijo",0.502,0.564,0.584
"P06","2 hijos",0.275,0.273,0.292
"P06","3 hijos",0.142,0.084,0.068
"P06","4 o más hijos",0.081,0.079,0.056
"P07","Con hijos de 3 años y menos",0.576,0.494,0.354
"P07","Con hijos mayores de 3 años",0.424,0.506,0.646
"P08","En un Centro de Salud",0.509,0.538,0.474
"P08","En un hospital",0.184,0.238,0.202
"P08","En un sanatorio",0.084,0.029,0.043
"P08","En un Consultorio Privado",0.068,0.017,0.053
"P08","En un vacunatorio",0.155,0.178,0.228
"P09","Si",0.881,0.977,0.992
"P09","No",0.119,0.023,0.008
"P10","Si, son efectivas",0.885,0.991,0.997
"P10","No, no son efectivas",0.115,0.009,0.003
"P11","Si",0.805,0.983,0.973
"P11","No",0.195,0.017,0.027
"P12","Si",0.379,0.124,0.112
"P12","No",0.621,0.876,0.888
"P13","La quíntuple",0.231,0.077,0.076
"P13","La triple viral (Sarampión, rubeola y paperas)",0.193,0.093,0.149
"P13","La Neumococo",0.018,0.129,0.026
"P13","La BCG",0.017,0.034,0.018
"P13","Otra",0.242,0.189,0.124
"P13","No recuerda",0.299,0.478,0.607
"P14","Si",0.879,0.94,0.954
"P14","No",0.121,0.06,0.046
"P15","Si, las conozco",0.758,0.81,0.836
"P15","No, no las conozco",0.171,0.081,0.077
"P15","Algunas",0.071,0.109,0.087
"P16","Si",0.629,0.724,0.75
"P16","A veces",0.238,0.236,0.172
"P16","No",0.133,0.04,0.078
"P17","Sí, hay suficiente información",0.264,0.203,0.257
"P17","No, no hay suficiente información",0.736,0.797,0.743
"P19","Sí, mucho",0.475,0.231,0.139
"P19","Si, un poco",0.508,0.688,0.694
"P19","No",0.017,0.081,0.167
"P20","Si",0.499,0.192,0.101
"P20","No",0.459,0.741,0.809
"P20","No recuerda",0.042,0.067,0.09
"P21","La quíntuple",0.387,0.197,0.186
"P21","La triple viral (Sarampión, rubeola y paperas)",0.121,0.189,0.187
"P21","La Neumococo",0.058,0.059,0.046
"P21","La BCG",0.013,0.079,0.095
"P21","Otra",0.109,0.116,0.091
"P21","No recuerda",0.312,0.36,0.395
"P22","Si",0.625,0.61,0.514
"P22","No",0.267,0.313,0.394
"P22","No recuerda",0.108,0.077,0.092
"P23","La quíntuple",0.445,0.233,0.187
"P23","La triple viral (Sarampión, rubeola y paperas)",0.058,0.153,0.163
"P23","La Neumococo",0.048,0.064,0.032
"P23","La BCG",0.028,0.077,0.081
"P23","Otra",0.148,0.056,0.053
"P23","No recuerda",0.273,0.417,0.484
"P24","Sí, una vez",0.228,0.132,0.047
"P24","Si varias veces",0.109,0.1,0.073
"P24","No",0.554,0.688,0.781
"P24","No recuerdo",0.109,0.08,0.099
"P25","Si",0.553,0.683,0.7
"P25","No",0.447,0.317,0.3
"P26","Si",0.544,0.519,0.549
"P26","No",0.456,0.481,0.451
"P27","Si, la Polio y la quíntuple",0.164,0.188,0.14
"P27","Si, la triple viral y la BCG",0.322,0.238,0.231
"P27","Otras",0.057,0.026,0.052
"P27","No recuerdo",0.457,0.548,0.577
"P28","Si",0.213,0.322,0.386
"P28","No",0.787,0.678,0.614
"P29","Si",0.198,0.185,0.243
"P29","No",0.802,0.815,0.757
"P30","Si, Infanrix",0.296,0.121,0.085
"P30","Si, Hexaxim",0.434,0.123,0.129
"P30","No recuerdo",0.27,0.756,0.786
"P31","Si",0.861,0.942,0.931
"P31","No",0.139,0.058,0.069
"P32","Si",0.536,0.533,0.475
"P32","No",0.464,0.467,0.525
"P33","Miedo al contagio",0.352,0.431,0.446
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.388,0.362,0.301
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.252,0.152,0.176
"P33","Porque era costoso el viaje",0.008,0.055,0.077
"P34","Si, una dosis",0.51,0.529,0.546
"P34","Si, dos dosis",0.255,0.361,0.382
"P34","Ninguna",0.235,0.11,0.072
"P35","Sputnik V",0.434,0.275,0.327
"P35","Sinopharm",0.215,0.329,0.292
"P35","AstraZeneca",0.245,0.356,0.32
"P35","Johnson",0.004,0.007,0.001
"P35","Phizer",0.006,0.008,0.016
"P35","Moderna",0.027,0.002,0.013
"P35","Otra",0.069,0.023,0.031
