"var","categoria","Sí, una vez","Si varias veces","No","No recuerdo"
"P06","1 hijo",0.489,0.661,0.598,0.636
"P06","2 hijos",0.275,0.186,0.286,0.253
"P06","3 hijos",0.073,0.05,0.075,0.092
"P06","4 o más hijos",0.163,0.103,0.041,0.019
"P07","Con hijos de 3 años y menos",0.501,0.494,0.407,0.368
"P07","Con hijos mayores de 3 años",0.499,0.506,0.593,0.632
"P08","En un Centro de Salud",0.598,0.446,0.495,0.426
"P08","En un hospital",0.199,0.198,0.219,0.255
"P08","En un sanatorio",0.009,0.119,0.033,0.031
"P08","En un Consultorio Privado",0.012,0.09,0.032,0.059
"P08","En un vacunatorio",0.182,0.147,0.221,0.229
"P09","Si",0.945,0.888,0.986,0.98
"P09","No",0.055,0.112,0.014,0.02
"P10","Si, son efectivas",0.97,0.899,0.995,0.978
"P10","No, no son efectivas",0.03,0.101,0.005,0.022
"P11","Si",0.892,0.854,0.989,0.945
"P11","No",0.108,0.146,0.011,0.055
"P12","Si",0.299,0.242,0.115,0.133
"P12","No",0.701,0.758,0.885,0.867
"P13","La quíntuple",0.253,0.084,0.096,0.029
"P13","La triple viral (Sarampión, rubeola y paperas)",0.071,0.219,0.121,0.285
"P13","La Neumococo",0.149,0.066,0.062,0.013
"P13","La BCG",0.062,0.049,0.01,0
"P13","Otra",0.294,0.099,0.165,0.173
"P13","No recuerda",0.171,0.483,0.546,0.5
"P14","Si",0.95,0.862,0.951,0.927
"P14","No",0.05,0.138,0.049,0.073
"P15","Si, las conozco",0.754,0.771,0.872,0.757
"P15","No, no las conozco",0.109,0.145,0.047,0.107
"P15","Algunas",0.137,0.084,0.081,0.136
"P16","Si",0.745,0.619,0.75,0.698
"P16","A veces",0.198,0.288,0.197,0.249
"P16","No",0.057,0.093,0.053,0.053
"P17","Sí, hay suficiente información",0.176,0.277,0.225,0.155
"P17","No, no hay suficiente información",0.824,0.723,0.775,0.845
"P18","Si",0.209,0.121,0.078,0.122
"P18","Sí, pero es necesario",0.628,0.577,0.507,0.466
"P18","No",0.163,0.302,0.415,0.412
"P19","Sí, mucho",0.298,0.288,0.159,0.207
"P19","Si, un poco",0.626,0.554,0.728,0.665
"P19","No",0.076,0.158,0.113,0.128
"P20","Si",0.379,0.223,0.131,0.176
"P20","No",0.544,0.672,0.814,0.649
"P20","No recuerda",0.077,0.105,0.055,0.175
"P21","La quíntuple",0.369,0.263,0.209,0.193
"P21","La triple viral (Sarampión, rubeola y paperas)",0.116,0.294,0.164,0.186
"P21","La Neumococo",0.102,0.075,0.008,0.081
"P21","La BCG",0.057,0.069,0.065,0.127
"P21","Otra",0.171,0.064,0.103,0.016
"P21","No recuerda",0.185,0.235,0.451,0.397
"P22","Si",0.769,0.447,0.534,0.68
"P22","No",0.188,0.414,0.386,0.16
"P22","No recuerda",0.043,0.139,0.08,0.16
"P23","La quíntuple",0.305,0.283,0.236,0.185
"P23","La triple viral (Sarampión, rubeola y paperas)",0.176,0.264,0.139,0.069
"P23","La Neumococo",0.053,0.029,0.052,0.057
"P23","La BCG",0.041,0.03,0.089,0.071
"P23","Otra",0.068,0.12,0.07,0.004
"P23","No recuerda",0.357,0.274,0.414,0.614
"P25","Si",0.616,0.643,0.693,0.656
"P25","No",0.384,0.357,0.307,0.344
"P26","Si",0.383,0.58,0.565,0.406
"P26","No",0.617,0.42,0.435,0.594
"P27","Si, la Polio y la quíntuple",0.237,0.218,0.16,0.103
"P27","Si, la triple viral y la BCG",0.28,0.331,0.229,0.225
"P27","Otras",0.035,0.043,0.04,0.027
"P27","No recuerdo",0.448,0.408,0.571,0.645
"P28","Si",0.247,0.307,0.354,0.323
"P28","No",0.753,0.693,0.646,0.677
"P29","Si",0.165,0.359,0.205,0.138
"P29","No",0.835,0.641,0.795,0.862
"P30","Si, Infanrix",0.312,0.032,0.129,0
"P30","Si, Hexaxim",0.178,0.459,0.077,0.224
"P30","No recuerdo",0.51,0.509,0.794,0.776
"P31","Si",0.851,0.793,0.962,0.906
"P31","No",0.149,0.207,0.038,0.094
"P32","Si",0.499,0.453,0.524,0.475
"P32","No",0.501,0.547,0.476,0.525
"P33","Miedo al contagio",0.356,0.359,0.464,0.341
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.349,0.38,0.318,0.452
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.242,0.17,0.165,0.123
"P33","Porque era costoso el viaje",0.053,0.091,0.053,0.084
"P34","Si, una dosis",0.493,0.382,0.552,0.592
"P34","Si, dos dosis",0.325,0.43,0.363,0.287
"P34","Ninguna",0.182,0.188,0.085,0.121
"P35","Sputnik V",0.323,0.263,0.304,0.38
"P35","Sinopharm",0.288,0.407,0.298,0.288
"P35","AstraZeneca",0.301,0.187,0.355,0.316
"P35","Johnson",0,0.017,0.004,0
"P35","Phizer",0.042,0.045,0.003,0.005
"P35","Moderna",0,0.046,0.007,0
"P35","Otra",0.046,0.035,0.029,0.011
